executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,9940314,3.846330310
./mem-walk-no-thread-no-thrash,9173423,3.418352857
./mem-walk-no-thread-no-thrash,9239418,3.475034255
./mem-walk-no-thread-no-thrash,9165378,3.438428637
./mem-walk-no-thread-no-thrash,9556872,3.756084537
./mem-walk-no-thread-no-thrash,8696321,3.221694476
./mem-walk-no-thread-no-thrash,8856816,3.198825065
./mem-walk-no-thread-no-thrash,8524375,3.139578460
./mem-walk-no-thread-no-thrash,9739781,3.789604740
./mem-walk-no-thread-no-thrash,8923583,3.338743401
./mem-walk-no-thread,528678635,11.840507019
./mem-walk-no-thread,516670434,11.889213316
./mem-walk-no-thread,532322451,11.864037626
./mem-walk-no-thread,536822175,11.871544116
./mem-walk-no-thread,527793941,11.871415876
./mem-walk-no-thread,533303451,11.899182793
./mem-walk-no-thread,534423462,11.905467463
./mem-walk-no-thread,525370308,11.855660381
./mem-walk-no-thread,521928604,11.871052076
./mem-walk-no-thread,536885175,11.897738334
./mem-walk-no-thrash,46291486,12.098218502
./mem-walk-no-thrash,43422045,11.883348604
./mem-walk-no-thrash,42395687,12.209615289
./mem-walk-no-thrash,46487780,12.358699727
./mem-walk-no-thrash,44865010,12.033682281
./mem-walk-no-thrash,45041292,12.237579943
./mem-walk-no-thrash,43140476,11.922330549
./mem-walk-no-thrash,45452587,12.446007287
./mem-walk-no-thrash,45939400,12.780455995
./mem-walk-no-thrash,44577194,11.822033576
./mem-walk,11670428430,127.175737405
./mem-walk,11807762754,128.344793446
./mem-walk,12955857914,137.474872617
./mem-walk,13963373894,145.641924742
./mem-walk,11473537426,125.628220019
./mem-walk,11624074361,126.807851076
./mem-walk,12294380358,132.091271873
./mem-walk,12202997952,131.347755346
./mem-walk,11719062946,127.571696758
./mem-walk,12494392772,133.792391757
