executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,6907623,4.048655495
./mem-walk-no-thread-no-thrash,6164986,3.284950409
./mem-walk-no-thread-no-thrash,5940931,3.307810342
./mem-walk-no-thread-no-thrash,6000134,3.271676577
./mem-walk-no-thread-no-thrash,6368339,3.787822426
./mem-walk-no-thread-no-thrash,5668976,3.095435663
./mem-walk-no-thread-no-thrash,6063550,3.586008275
./mem-walk-no-thread-no-thrash,6005318,3.519714105
./mem-walk-no-thread-no-thrash,5658248,3.082286956
./mem-walk-no-thread-no-thrash,6185781,3.610664789
./mem-walk-no-thread-no-thrash,6700710,4.167830736
./mem-walk-no-thread-no-thrash,6701671,4.174574827
./mem-walk-no-thread-no-thrash,5759148,3.258557122
./mem-walk-no-thread-no-thrash,5968350,3.479554990
./mem-walk-no-thread-no-thrash,6552308,4.101973726
./mem-walk-no-thread-no-thrash,5737819,3.244302372
./mem-walk-no-thread-no-thrash,6714948,4.180015306
./mem-walk-no-thread-no-thrash,5867829,3.264070855
./mem-walk-no-thread-no-thrash,5954318,3.266394792
./mem-walk-no-thread-no-thrash,6399886,3.979190847
./mem-walk-no-thread-no-thrash,6179851,3.604133402
./mem-walk-no-thread-no-thrash,5647566,3.156567465
./mem-walk-no-thread-no-thrash,6163691,3.273460502
./mem-walk-no-thread-no-thrash,6846795,3.993654835
./mem-walk-no-thread-no-thrash,6180805,3.429300819
./mem-walk-no-thread-no-thrash,6646323,4.002385984
./mem-walk-no-thread-no-thrash,6314419,3.445997877
./mem-walk-no-thread-no-thrash,6437532,3.915184030
./mem-walk-no-thread-no-thrash,6364874,3.928596488
./mem-walk-no-thread-no-thrash,5799421,3.302187906
./mem-walk-no-thread-no-thrash,6049713,3.484530363
./mem-walk-no-thread-no-thrash,6422293,3.857801792
./mem-walk-no-thread-no-thrash,6214593,3.754816569
./mem-walk-no-thread-no-thrash,6297046,3.853511743
./mem-walk-no-thread-no-thrash,6384201,3.951910422
./mem-walk-no-thread-no-thrash,5598715,3.094345777
./mem-walk-no-thread-no-thrash,5943258,3.373501134
./mem-walk-no-thread-no-thrash,5756606,3.151036946
./mem-walk-no-thread-no-thrash,6190017,3.737941042
./mem-walk-no-thread-no-thrash,6536204,4.129231510
./mem-walk-no-thread-no-thrash,5883521,3.263195339
./mem-walk-no-thread-no-thrash,6596297,4.067370628
./mem-walk-no-thread-no-thrash,6229364,3.655633460
./mem-walk-no-thread-no-thrash,6050143,3.572811742
./mem-walk-no-thread-no-thrash,6367543,3.935798463
./mem-walk-no-thread-no-thrash,6685128,4.168305825
./mem-walk-no-thread-no-thrash,6054116,3.438513243
./mem-walk-no-thread-no-thrash,6103349,3.644062873
./mem-walk-no-thread-no-thrash,6351620,3.906733408
./mem-walk-no-thread-no-thrash,6132231,3.675813154
./mem-walk-no-thread,589528967,11.619652008
./mem-walk-no-thread,589602347,11.590816694
./mem-walk-no-thread,588672951,11.589800377
./mem-walk-no-thread,589429847,11.587540937
./mem-walk-no-thread,581309677,11.584736091
./mem-walk-no-thread,583065215,11.583186807
./mem-walk-no-thread,584268251,11.610010287
./mem-walk-no-thread,575413401,11.589814209
./mem-walk-no-thread,574698849,11.616120614
./mem-walk-no-thread,579745967,11.597598527
./mem-walk-no-thread,596404521,11.633249307
./mem-walk-no-thread,594161259,11.599600194
./mem-walk-no-thread,581317169,11.596364543
./mem-walk-no-thread,589178238,11.617400156
./mem-walk-no-thread,583899416,11.617805291
./mem-walk-no-thread,576108873,11.654942072
./mem-walk-no-thread,595873345,11.638059660
./mem-walk-no-thread,588815788,11.591124815
./mem-walk-no-thread,589631674,11.621374503
./mem-walk-no-thread,581711374,11.593173691
./mem-walk-no-thread,595715500,11.639025236
./mem-walk-no-thread,580202240,11.594495033
./mem-walk-no-thread,579944965,11.606094026
./mem-walk-no-thread,580180306,11.575492840
./mem-walk-no-thread,550760404,11.726670186
./mem-walk-no-thread,602323807,11.903119714
./mem-walk-no-thread,580259546,11.603488564
./mem-walk-no-thread,590567418,11.606477650
./mem-walk-no-thread,591693273,11.596399767
./mem-walk-no-thread,593703368,11.587806189
./mem-walk-no-thread,597072064,11.613491751
./mem-walk-no-thread,584798309,11.558751167
./mem-walk-no-thread,580749826,11.583490764
./mem-walk-no-thread,582553676,11.575376860
./mem-walk-no-thread,573448525,11.574841665
./mem-walk-no-thread,576172936,11.638055369
./mem-walk-no-thread,587561228,11.578618434
./mem-walk-no-thread,587765303,11.587677976
./mem-walk-no-thread,576828358,11.633467103
./mem-walk-no-thread,594545666,11.571619423
./mem-walk-no-thread,593399501,11.588870417
./mem-walk-no-thread,580478287,11.557632193
./mem-walk-no-thread,590611726,11.578661542
./mem-walk-no-thread,589010704,11.592871510
./mem-walk-no-thread,599056171,11.604394439
./mem-walk-no-thread,580000115,11.562332762
./mem-walk-no-thread,581535727,11.595151053
./mem-walk-no-thread,589243629,11.580185614
./mem-walk-no-thread,589852075,11.587486237
./mem-walk-no-thread,596727006,11.597061669
./mem-walk-no-thrash,17753527,6.069139074
./mem-walk-no-thrash,20708520,6.076950619
./mem-walk-no-thrash,17814186,6.073837719
./mem-walk-no-thrash,18384539,6.077938850
./mem-walk-no-thrash,19216407,6.063504361
./mem-walk-no-thrash,18869138,6.097568021
./mem-walk-no-thrash,23888417,6.583027336
./mem-walk-no-thrash,18688058,6.055881598
./mem-walk-no-thrash,18134074,6.078524931
./mem-walk-no-thrash,18456519,6.065098522
./mem-walk-no-thrash,19396839,6.067419868
./mem-walk-no-thrash,18809591,5.968415150
./mem-walk-no-thrash,18274470,6.063688856
./mem-walk-no-thrash,17399843,6.074473515
./mem-walk-no-thrash,19294300,6.064124394
./mem-walk-no-thrash,22843265,6.083743774
./mem-walk-no-thrash,17663470,6.071514220
./mem-walk-no-thrash,18544864,6.078127349
./mem-walk-no-thrash,19097671,6.078933936
./mem-walk-no-thrash,18234508,6.079802178
./mem-walk-no-thrash,19692275,6.096706826
./mem-walk-no-thrash,18012467,6.061381963
./mem-walk-no-thrash,19539746,5.973926419
./mem-walk-no-thrash,19494339,6.120618039
./mem-walk-no-thrash,19081684,6.073541663
./mem-walk-no-thrash,21169078,6.066418124
./mem-walk-no-thrash,18691356,6.079577623
./mem-walk-no-thrash,18688204,6.087611517
./mem-walk-no-thrash,19744274,6.079492914
./mem-walk-no-thrash,18715239,6.071883964
./mem-walk-no-thrash,17886907,6.088326120
./mem-walk-no-thrash,19083403,6.197591078
./mem-walk-no-thrash,21524522,6.080307121
./mem-walk-no-thrash,18168691,6.086898558
./mem-walk-no-thrash,18731491,6.077598402
./mem-walk-no-thrash,17630830,6.069471577
./mem-walk-no-thrash,20886800,6.064909990
./mem-walk-no-thrash,18656486,6.066789338
./mem-walk-no-thrash,17587348,6.071089493
./mem-walk-no-thrash,18430701,6.072946049
./mem-walk-no-thrash,19053280,6.071142054
./mem-walk-no-thrash,19014382,6.083119665
./mem-walk-no-thrash,19804723,6.076653289
./mem-walk-no-thrash,22811256,6.086153851
./mem-walk-no-thrash,18876916,6.076069483
./mem-walk-no-thrash,18614362,6.067333232
./mem-walk-no-thrash,23155025,6.088348151
./mem-walk-no-thrash,18444100,6.061024393
./mem-walk-no-thrash,18510638,6.079025245
