executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3641660,3.750981841
./mem-walk-no-thread-no-thrash,3620955,4.093570942
./mem-walk-no-thread-no-thrash,3675233,4.143726726
./mem-walk-no-thread-no-thrash,3566234,3.683377366
./mem-walk-no-thread-no-thrash,3644873,3.853178792
./mem-walk-no-thread-no-thrash,3660460,3.999435731
./mem-walk-no-thread-no-thrash,3621561,4.030926965
./mem-walk-no-thread-no-thrash,3637805,3.753571791
./mem-walk-no-thread-no-thrash,3491287,3.627291908
./mem-walk-no-thread-no-thrash,3498717,3.305635046
./mem-walk-no-thread-no-thrash,3529322,3.466022143
./mem-walk-no-thread-no-thrash,3585512,3.932281114
./mem-walk-no-thread-no-thrash,3671035,3.806714232
./mem-walk-no-thread-no-thrash,3651083,3.898292399
./mem-walk-no-thread-no-thrash,3727833,3.820007466
./mem-walk-no-thread-no-thrash,3647488,3.544402855
./mem-walk-no-thread-no-thrash,3545750,3.369905098
./mem-walk-no-thread-no-thrash,3444116,3.219445023
./mem-walk-no-thread-no-thrash,3620604,4.083015201
./mem-walk-no-thread-no-thrash,3530711,3.642347992
./mem-walk-no-thread-no-thrash,3699103,4.002375794
./mem-walk-no-thread-no-thrash,3577765,3.930065034
./mem-walk-no-thread-no-thrash,3779840,4.224532414
./mem-walk-no-thread-no-thrash,3410753,3.245107661
./mem-walk-no-thread-no-thrash,3706961,3.860197968
./mem-walk-no-thread-no-thrash,3709828,3.958713866
./mem-walk-no-thread-no-thrash,3379594,3.115224766
./mem-walk-no-thread-no-thrash,3823055,4.165736930
./mem-walk-no-thread-no-thrash,3723230,4.144607170
./mem-walk-no-thread-no-thrash,3470957,3.472713031
./mem-walk-no-thread-no-thrash,3741560,3.920723570
./mem-walk-no-thread-no-thrash,3685345,3.991863168
./mem-walk-no-thread-no-thrash,3376990,3.178636646
./mem-walk-no-thread-no-thrash,3850348,4.123484257
./mem-walk-no-thread-no-thrash,3478685,3.480333831
./mem-walk-no-thread-no-thrash,3652881,3.805986448
./mem-walk-no-thread-no-thrash,3372364,3.104338661
./mem-walk-no-thread-no-thrash,3695795,3.483528486
./mem-walk-no-thread-no-thrash,3493585,3.376479505
./mem-walk-no-thread-no-thrash,3555318,3.804226911
