executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,9261633,3.441740237
./mem-walk-no-thread-no-thrash,9891429,3.828550457
./mem-walk-no-thread-no-thrash,8564630,3.214439125
./mem-walk-no-thread-no-thrash,9834162,3.765631110
./mem-walk-no-thread-no-thrash,9494221,3.604358908
./mem-walk-no-thread-no-thrash,9816148,3.783500964
./mem-walk-no-thread-no-thrash,9441905,3.605600920
./mem-walk-no-thread-no-thrash,9710454,3.822422398
./mem-walk-no-thread-no-thrash,9250555,3.522111726
./mem-walk-no-thread-no-thrash,9853395,3.788400735
./mem-walk-no-thread,534398246,11.842322342
./mem-walk-no-thread,531447441,11.849977240
./mem-walk-no-thread,515677523,11.856906312
./mem-walk-no-thread,524045276,11.854901130
./mem-walk-no-thread,533568979,11.871431503
./mem-walk-no-thread,535850346,11.871318046
./mem-walk-no-thread,536497879,11.867115184
./mem-walk-no-thread,523908279,11.864621678
./mem-walk-no-thread,517821208,11.858059779
./mem-walk-no-thread,522611129,11.860535911
./mem-walk-no-thrash,45820178,12.206691289
./mem-walk-no-thrash,45048802,11.890709848
./mem-walk-no-thrash,45487809,12.033003521
./mem-walk-no-thrash,45297012,12.442092362
./mem-walk-no-thrash,43853785,12.512170877
./mem-walk-no-thrash,45820789,12.220301483
./mem-walk-no-thrash,43702054,12.186292946
./mem-walk-no-thrash,43979412,12.202199809
./mem-walk-no-thrash,44380347,12.163071170
./mem-walk-no-thrash,42739047,11.842064787
./mem-walk,11920029544,128.859855440
./mem-walk,11354212861,124.439544652
./mem-walk,12278048630,132.332561457
./mem-walk,11462825135,125.893489164
./mem-walk,12314212846,133.699990776
./mem-walk,11643097669,126.541949315
./mem-walk,11417303478,125.400122445
./mem-walk,11407097710,125.652697738
./mem-walk,11710481906,127.989107618
./mem-walk,12314299549,132.759298001
