date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379558615487,eth0,982907,978172,252163326,240418368
1379558615487,eth2,48967,40212072343,160039144,5648472435178
1379558615487,lo,2,2,168,168
1379558625493,eth0,982930,978195,252167040,240423330
1379558625493,eth2,48977,40213269573,160045084,5649698398698
1379558625493,lo,2,2,168,168
1379558635499,eth0,982954,978220,252170818,240432102
1379558635499,eth2,48987,40214466803,160051024,5650924361194
1379558635499,lo,2,2,168,168
1379558645508,eth0,982981,978251,252175070,240445230
1379558645508,eth2,48998,40215664033,160057028,5652150324778
1379558645508,lo,2,2,168,168
1379558655518,eth0,983034,978310,252183772,240467388
1379558655518,eth2,49008,40216861263,160062968,5653376288298
1379558655518,lo,2,2,168,168
1379558665524,eth0,983067,978344,252189020,240475666
1379558665524,eth2,49018,40218058493,160068908,5654602251818
1379558665524,lo,2,2,168,168
1379558675531,eth0,983090,978371,252192632,240487214
1379558675531,eth2,49029,40219255724,160074912,5655828215402
1379558675531,lo,2,2,168,168
1379558685538,eth0,983115,978402,252196702,240503052
1379558685538,eth2,49039,40220452954,160080852,5657054178922
1379558685538,lo,2,2,168,168
1379558695544,eth0,983139,978427,252200480,240509912
1379558695544,eth2,49049,40221650184,160086792,5658280142442
1379558695544,lo,2,2,168,168
1379558705552,eth0,983166,978458,252204732,240521124
1379558705552,eth2,49060,40222847415,160092796,5659506105002
1379558705552,lo,2,2,168,168
1379558715561,eth0,983218,978516,252213252,240540252
1379558715561,eth2,49070,40224044644,160098736,5660732068522
1379558715561,lo,2,2,168,168
1379558725567,eth0,983252,978551,252218682,240547732
1379558725567,eth2,49080,40225241874,160104676,5661958032042
1379558725567,lo,2,2,168,168
1379558735574,eth0,983275,978577,252222294,240557330
1379558735574,eth2,49091,40226439105,160110680,5663183995626
1379558735574,lo,2,2,168,168
1379558745580,eth0,983298,978605,252226008,240570876
1379558745580,eth2,49101,40227636335,160116620,5664409959146
1379558745580,lo,2,2,168,168
1379558755587,eth0,983325,978636,252230300,240584620
1379558755587,eth2,49111,40228833565,160122560,5665635922666
1379558755587,lo,2,2,168,168
1379558765596,eth0,983352,978664,252234552,240593806
1379558765596,eth2,49122,40230030796,160128564,5666861886250
1379558765596,lo,2,2,168,168
1379558775606,eth0,983402,978718,252242716,240610606
1379558775606,eth2,49132,40231228026,160134504,5668087848746
1379558775606,lo,2,2,168,168
1379558785612,eth0,983438,978760,252248620,240630022
1379558785612,eth2,49142,40232425255,160140444,5669313812266
1379558785612,lo,2,2,168,168
1379558795618,eth0,983461,978785,252252232,240638926
1379558795618,eth2,49152,40233622485,160146384,5670539775786
1379558795618,lo,2,2,168,168
1379558805625,eth0,983485,978814,252256010,240651882
1379558805625,eth2,49163,40234819716,160152388,5671765739370
1379558805625,lo,2,2,168,168
1379558815631,eth0,983510,978843,252260080,240664752
1379558815631,eth2,49173,40236016946,160158328,5672991702890
1379558815631,lo,2,2,168,168
1379558825640,eth0,983537,978872,252264332,240673320
1379558825640,eth2,49183,40237214176,160164268,5674217666410
1379558825640,lo,2,2,168,168
1379558835649,eth0,983587,978927,252272496,240689502
1379558835649,eth2,49194,40238411407,160170272,5675443629994
1379558835649,lo,2,2,168,168
1379558845655,eth0,983623,978967,252278282,240703060
1379558845655,eth2,49204,40239608637,160176212,5676669593514
1379558845655,lo,2,2,168,168
1379558855661,eth0,983646,978992,252281894,240710048
1379558855661,eth2,49214,40240805866,160182152,5677895556010
1379558855661,lo,2,2,168,168
1379558865668,eth0,983669,979018,252285608,240720948
1379558865668,eth2,49225,40242003456,160188156,5679121886186
1379558865668,lo,2,2,168,168
1379558875674,eth0,983692,979047,252289322,240735756
1379558875674,eth2,49235,40243200685,160194096,5680347849706
1379558875674,lo,2,2,168,168
1379558885682,eth0,983721,979080,252293930,240751020
1379558885682,eth2,49245,40244397915,160200036,5681573813226
1379558885682,lo,2,2,168,168
1379558895691,eth0,983772,979133,252302158,240765236
1379558895691,eth2,49256,40245595146,160206040,5682799776810
1379558895691,lo,2,2,168,168
1379558905698,eth0,983805,979171,252307524,240780608
1379558905698,eth2,49266,40246792376,160211980,5684025740330
1379558905698,lo,2,2,168,168
1379558915704,eth0,983830,979200,252311492,240794292
1379558915704,eth2,49276,40247989606,160217920,5685251703850
1379558915704,lo,2,2,168,168
1379558925711,eth0,983853,979225,252315206,240803242
1379558925711,eth2,49287,40249186837,160223924,5686477667434
1379558925711,lo,2,2,168,168
1379558935717,eth0,983877,979254,252318984,240816142
1379558935717,eth2,49297,40250384067,160229864,5687703629930
1379558935717,lo,2,2,168,168
1379558945726,eth0,983906,979287,252323592,240829490
1379558945726,eth2,49307,40251581296,160235804,5688929593450
1379558945726,lo,2,2,168,168
1379558955735,eth0,983956,979339,252331756,240841730
1379558955735,eth2,49318,40252778527,160241808,5690155557034
1379558955735,lo,2,2,168,168
1379558965742,eth0,983989,979377,252337122,240855190
1379558965742,eth2,49328,40253975757,160247748,5691381520554
1379558965742,lo,2,2,168,168
1379558975748,eth0,984014,979406,252341090,240866958
1379558975748,eth2,49338,40255172987,160253688,5692607484074
1379558975748,lo,2,2,168,168
1379558985755,eth0,984038,979432,252344868,240874056
1379558985755,eth2,49349,40256370218,160259692,5693833447658
1379558985755,lo,2,2,168,168
1379558995761,eth0,984061,979458,252348582,240884904
1379558995761,eth2,49359,40257567448,160265632,5695059411178
1379558995761,lo,2,2,168,168
1379559005769,eth0,984088,979490,252352834,240900134
1379559005769,eth2,49369,40258764678,160271572,5696285374698
1379559005769,lo,2,2,168,168
1379559015778,eth0,984140,979546,252361354,240919066
1379559015778,eth2,49380,40259961908,160277576,5697511337258
1379559015778,lo,2,2,168,168
1379559025784,eth0,984174,979582,252366784,240930560
1379559025784,eth2,49390,40261159138,160283516,5698737300778
1379559025784,lo,2,2,168,168
1379559035790,eth0,984197,979610,252370396,240944210
1379559035790,eth2,49400,40262356368,160289456,5699963264298
1379559035790,lo,2,2,168,168
1379559045797,eth0,984222,979639,252374466,240957940
1379559045797,eth2,49411,40263553599,160295460,5701189227882
1379559045797,lo,2,2,168,168
1379559055803,eth0,984245,979664,252378180,240966834
1379559055803,eth2,49421,40264750829,160301400,5702415191402
1379559055803,lo,2,2,168,168
1379559065811,eth0,984272,979696,252382432,240980148
1379559065811,eth2,49431,40265948059,160307340,5703641154922
1379559065811,lo,2,2,168,168
1379559075820,eth0,984325,979753,252391016,240997232
1379559075820,eth2,49442,40267145290,160313344,5704867117482
1379559075820,lo,2,2,168,168
1379559085826,eth0,984358,979788,252396382,241006750
1379559085826,eth2,49452,40268342519,160319284,5706093081002
1379559085826,lo,2,2,168,168
1379559095832,eth0,984381,979816,252399994,241018484
1379559095832,eth2,49462,40269539749,160325224,5707319044522
1379559095832,lo,2,2,168,168
1379559105839,eth0,984407,979846,252404128,241030362
1379559105839,eth2,49472,40270736979,160331164,5708545008042
1379559105839,lo,2,2,168,168
1379559115845,eth0,984430,979871,252407842,241037344
1379559115845,eth2,49483,40271934210,160337168,5709770971626
1379559115845,lo,2,2,168,168
1379559125854,eth0,984457,979901,252412094,241048670
1379559125854,eth2,49493,40273131440,160343108,5710996935146
1379559125854,lo,2,2,168,168
1379559135863,eth0,984508,979957,252420322,241067632
1379559135863,eth2,49503,40274328670,160349048,5712222898666
1379559135863,lo,2,2,168,168
1379559145870,eth0,984544,979997,252426108,241083906
1379559145870,eth2,49514,40275525901,160355052,5713448861226
1379559145870,lo,2,2,168,168
1379559155876,eth0,984566,980021,252429656,241093550
1379559155876,eth2,49524,40276723130,160360992,5714674824746
1379559155876,lo,2,2,168,168
1379559165882,eth0,984590,980050,252433434,241107310
1379559165882,eth2,49534,40277920360,160366932,5715900788266
1379559165882,lo,2,2,168,168
1379559175888,eth0,984616,980080,252437568,241121048
1379559175888,eth2,49545,40279117949,160372936,5717127118442
1379559175888,lo,2,2,168,168
1379559185897,eth0,984642,980108,252441756,241130356
1379559185897,eth2,49555,40280315179,160378876,5718353081962
1379559185897,lo,2,2,168,168
1379559195906,eth0,984693,980164,252449984,241147406
1379559195906,eth2,49565,40281512409,160384816,5719579045482
1379559195906,lo,2,2,168,168
1379559205913,eth0,984729,980204,252455770,241161768
1379559205913,eth2,49576,40282709640,160390820,5720805009066
1379559205913,lo,2,2,168,168
1379559215919,eth0,984751,980228,252459318,241169496
1379559215919,eth2,49586,40283906870,160396760,5722030972586
1379559215919,lo,2,2,168,168
1379559225925,eth0,984775,980257,252463096,241181340
1379559225925,eth2,49596,40285104100,160402700,5723256936106
1379559225925,lo,2,2,168,168
1379559235931,eth0,984801,980287,252467230,241193166
1379559235931,eth2,49607,40286301331,160408704,5724482898666
1379559235931,lo,2,2,168,168
1379559245939,eth0,984827,980315,252471418,241200562
1379559245939,eth2,49617,40287498560,160414644,5725708862186
1379559245939,lo,2,2,168,168
1379559255949,eth0,984879,980370,252479710,241215684
1379559255949,eth2,49627,40288695790,160420584,5726934825706
1379559255949,lo,2,2,168,168
1379559265955,eth0,984912,980408,252485076,241231860
1379559265955,eth2,49638,40289893021,160426588,5728160789290
1379559265955,lo,2,2,168,168
1379559275962,eth0,984936,980436,252488980,241246284
1379559275962,eth2,49648,40291090251,160432528,5729386752810
1379559275962,lo,2,2,168,168
1379559285969,eth0,984960,980462,252492758,241256102
1379559285969,eth2,49658,40292287481,160438468,5730612716330
1379559285969,lo,2,2,168,168
1379559295975,eth0,984984,980491,252496536,241269806
1379559295975,eth2,49669,40293484712,160444472,5731838679914
1379559295975,lo,2,2,168,168
1379559305983,eth0,985012,980523,252501080,241283894
1379559305983,eth2,49679,40294681942,160450412,5733064642410
1379559305983,lo,2,2,168,168
1379559315993,eth0,985063,980576,252509308,241297002
1379559315993,eth2,49689,40295879171,160456352,5734290605930
1379559315993,lo,2,2,168,168
1379559325999,eth0,985097,980615,252514738,241311330
1379559325999,eth2,49700,40297076402,160462356,5735516569514
1379559325999,lo,2,2,168,168
1379559336006,eth0,985121,980643,252518642,241323838
1379559336006,eth2,49710,40298273632,160468296,5736742533034
1379559336006,lo,2,2,168,168
1379559346012,eth0,985146,980670,252522484,241331804
1379559346012,eth2,49720,40299470862,160474236,5737968496554
1379559346012,lo,2,2,168,168
1379559356018,eth0,985169,980698,252526198,241343532
1379559356018,eth2,49731,40300668093,160480240,5739194460138
1379559356018,lo,2,2,168,168
1379559366027,eth0,985197,980730,252530742,241355708
1379559366027,eth2,49741,40301865323,160486180,5740420423658
1379559366027,lo,2,2,168,168
1379559376037,eth0,985248,980783,252538970,241366900
1379559376037,eth2,49751,40303062553,160492120,5741646387178
1379559376037,lo,2,2,168,168
1379559386043,eth0,985281,980819,252544336,241379172
1379559386043,eth2,49762,40304259783,160498124,5742872349738
1379559386043,lo,2,2,168,168
1379559396049,eth0,985304,980847,252547948,241393626
1379559396049,eth2,49772,40305457013,160504064,5744098313258
1379559396049,lo,2,2,168,168
1379559406056,eth0,985330,980877,252552082,241408224
1379559406056,eth2,49782,40306654243,160510004,5745324276778
1379559406056,lo,2,2,168,168
1379559416062,eth0,985353,980902,252555796,241417922
1379559416062,eth2,49792,40307851473,160515944,5746550240298
1379559416062,lo,2,2,168,168
1379559426070,eth0,985379,980933,252559984,241431976
1379559426070,eth2,49803,40309048704,160521948,5747776203882
1379559426070,lo,2,2,168,168
1379559436079,eth0,985432,980990,252568568,241449864
1379559436079,eth2,49813,40310245934,160527888,5749002167402
1379559436079,lo,2,2,168,168
1379559446085,eth0,985466,981026,252573998,241460250
1379559446085,eth2,49823,40311443164,160533828,5750228130922
1379559446085,lo,2,2,168,168
1379559456092,eth0,985488,981053,252577546,241472724
1379559456092,eth2,49834,40312640394,160539832,5751454093482
1379559456092,lo,2,2,168,168
1379559466099,eth0,985514,981083,252581680,241485406
1379559466099,eth2,49844,40313837624,160545772,5752680057002
1379559466099,lo,2,2,168,168
1379559476105,eth0,985537,981108,252585394,241493192
1379559476105,eth2,49854,40315034854,160551712,5753906020522
1379559476105,lo,2,2,168,168
1379559486113,eth0,985563,981139,252589582,241505334
1379559486113,eth2,49865,40316232085,160557716,5755131984106
1379559486113,lo,2,2,168,168
1379559496123,eth0,985616,981196,252598166,241521306
1379559496123,eth2,49875,40317429673,160563656,5756358314218
1379559496123,lo,2,2,168,168
1379559506129,eth0,985650,981232,252603596,241529776
1379559506129,eth2,49885,40318626903,160569596,5757584277738
1379559506129,lo,2,2,168,168
1379559516136,eth0,985672,981257,252607144,241540262
1379559516136,eth2,49897,40319943785,160576194,5758932763946
1379559516136,lo,2,2,168,168
1379559526142,eth0,985695,981285,252610858,241554762
1379559526142,eth2,49907,40321141015,160582134,5760158727466
1379559526142,lo,2,2,168,168
1379559536149,eth0,985721,981315,252614992,241569304
1379559536149,eth2,49917,40322338245,160588074,5761384690986
