date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379518240624,eth0,507432,496297,160296614,135991658
1379518240624,eth7,5928714202,36882,1266287374852,8785308
1379518240624,lo,0,0,0,0
1379518250632,eth0,507455,496320,160300328,135997796
1379518250632,eth7,5929205620,36892,1266318825604,8786228
1379518250632,lo,0,0,0,0
1379518260644,eth0,507492,496359,160306358,136009974
1379518260644,eth7,5929693559,36903,1266350053700,8787212
1379518260644,lo,0,0,0,0
1379518270653,eth0,507532,496404,160312846,136026476
1379518270653,eth7,5930188492,36914,1266381729348,8788196
1379518270653,lo,0,0,0,0
1379518280661,eth0,507567,496443,160318466,136041760
1379518280661,eth7,5930673270,36925,1266412755204,8789180
1379518280661,lo,0,0,0,0
1379518290669,eth0,507591,496469,160322244,136050774
1379518290669,eth7,5931163730,36935,1266444144644,8790100
1379518290669,lo,0,0,0,0
1379518300678,eth0,507613,496496,160325792,136063436
1379518300678,eth7,5931652373,36946,1266475417796,8791084
1379518300678,lo,0,0,0,0
1379518310687,eth0,507638,496525,160329862,136076218
1379518310687,eth7,5932181151,36958,1266509259588,8792160
1379518310687,lo,0,0,0,0
1379518320699,eth0,507675,496564,160335892,136086356
1379518320699,eth7,5932672144,36969,1266540683140,8793144
1379518320699,lo,0,0,0,0
1379518330708,eth0,507717,496611,160342508,136100946
1379518330708,eth7,5933155480,36979,1266571616644,8794064
1379518330708,lo,0,0,0,0
1379518340716,eth0,507751,496649,160348064,136114126
1379518340716,eth7,5933644269,36990,1266602899140,8795048
1379518340716,lo,0,0,0,0
1379518350724,eth0,507774,496674,160351778,136121036
1379518350724,eth7,5934126770,37001,1266633779204,8796032
1379518350724,lo,0,0,0,0
1379518360732,eth0,507796,496699,160355326,136131582
1379518360732,eth7,5934614551,37011,1266664997188,8796952
1379518360732,lo,0,0,0,0
1379518370741,eth0,507819,496727,160359040,136146118
1379518370741,eth7,5935106491,37022,1266696481348,8797936
1379518370741,lo,0,0,0,0
1379518380752,eth0,507859,496771,160365490,136162888
1379518380752,eth7,5935595997,37032,1266727809732,8798856
1379518380752,lo,0,0,0,0
1379518390761,eth0,507900,496814,160372042,136175260
1379518390761,eth7,5936067997,37044,1266758017732,8799904
1379518390761,lo,0,0,0,0
1379518400769,eth0,507932,496851,160377242,136190194
1379518400769,eth7,5936509465,37054,1266786271620,8800824
1379518400769,lo,0,0,0,0
1379518410777,eth0,507957,496880,160381312,136203672
1379518410777,eth7,5937003780,37065,1266817907844,8801808
1379518410777,lo,0,0,0,0
1379518420784,eth0,507979,496904,160384860,136212140
1379518420784,eth7,5937497643,37075,1266849515076,8802728
1379518420784,lo,0,0,0,0
1379518430792,eth0,508003,496933,160388638,136224700
1379518430792,eth7,5937985482,37087,1266880736772,8803776
1379518430792,lo,0,0,0,0
1379518440805,eth0,508043,496977,160395088,136239430
1379518440805,eth7,5938483262,37097,1266912594692,8804696
1379518440805,lo,0,0,0,0
1379518450814,eth0,508083,497019,160401576,136249698
1379518450814,eth7,5938983172,37108,1266944588932,8805680
1379518450814,lo,0,0,0,0
1379518460822,eth0,508115,497056,160406776,136262592
1379518460822,eth7,5939470757,37118,1266975794372,8806600
