date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379545988736,eth0,641553,639460,182103836,177271070
1379545988736,eth7,7481254234,50808,1365649936900,10040432
1379545988736,lo,0,0,0,0
1379545998745,eth0,641575,639482,182107384,177277054
1379545998745,eth7,7481254234,50808,1365649936900,10040432
1379545998745,lo,0,0,0,0
1379546008755,eth0,641614,639523,182113746,177289560
1379546008755,eth7,7481254234,50808,1365649936900,10040432
1379546008755,lo,0,0,0,0
1379546018765,eth0,641637,639551,182117358,177303322
1379546018765,eth7,7481254234,50808,1365649936900,10040432
1379546018765,lo,0,0,0,0
1379546028774,eth0,641675,639593,182123460,177319096
1379546028774,eth7,7481254234,50808,1365649936900,10040432
1379546028774,lo,0,0,0,0
1379546038782,eth0,641707,639627,182128660,177329492
1379546038782,eth7,7481254234,50808,1365649936900,10040432
1379546038782,lo,0,0,0,0
1379546048789,eth0,641734,639659,182133014,177342968
1379546048789,eth7,7481254234,50808,1365649936900,10040432
1379546048789,lo,0,0,0,0
1379546058798,eth0,641758,639687,182136918,177355632
1379546058798,eth7,7481254234,50808,1365649936900,10040432
1379546058798,lo,0,0,0,0
1379546068807,eth0,641798,639729,182143344,177366198
1379546068807,eth7,7481254234,50808,1365649936900,10040432
1379546068807,lo,0,0,0,0
1379546078817,eth0,641821,639757,182146956,177377956
1379546078817,eth7,7481254234,50808,1365649936900,10040432
1379546078817,lo,0,0,0,0
1379546088827,eth0,641858,639798,182152994,177391662
1379546088827,eth7,7481254234,50808,1365649936900,10040432
1379546088827,lo,0,0,0,0
1379546098834,eth0,641890,639832,182158194,177400054
1379546098834,eth7,7481254234,50808,1365649936900,10040432
1379546098834,lo,0,0,0,0
1379546108842,eth0,641918,639863,182162612,177411514
1379546108842,eth7,7481254234,50808,1365649936900,10040432
1379546108842,lo,0,0,0,0
1379546118850,eth0,641941,639891,182166224,177426032
1379546118850,eth7,7481254234,50808,1365649936900,10040432
1379546118850,lo,0,0,0,0
1379546128859,eth0,641982,639936,182172942,177443138
1379546128859,eth7,7481254234,50808,1365649936900,10040432
1379546128859,lo,0,0,0,0
1379546138869,eth0,642004,639960,182176490,177452714
