date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379531352798,eth0,804205,790033,223124410,191873138
1379531352798,eth2,48950,25541293661,160029576,2724169249782
1379531352798,lo,2,2,168,168
1379531362805,eth0,804227,790055,223127958,191879134
1379531362805,eth2,48950,25542490891,160029576,2725395213302
1379531362805,lo,2,2,168,168
1379531372814,eth0,804265,790095,223134052,191891412
1379531372814,eth2,48950,25543688121,160029576,2726621175798
1379531372814,lo,2,2,168,168
1379531382821,eth0,804287,790122,223137600,191905154
1379531382821,eth2,48950,25544885350,160029576,2727847139318
1379531382821,lo,2,2,168,168
1379531392830,eth0,804313,790152,223141734,191919096
1379531392830,eth2,48950,25546082580,160029576,2729073102838
1379531392830,lo,2,2,168,168
1379531402838,eth0,804354,790195,223148286,191930872
1379531402838,eth2,48950,25547279810,160029576,2730299066358
1379531402838,lo,2,2,168,168
1379531412845,eth0,804387,790233,223153652,191945388
1379531412845,eth2,48950,25548477040,160029576,2731525029878
1379531412845,lo,2,2,168,168
1379531422852,eth0,804412,790262,223157620,191958220
1379531422852,eth2,48950,25549674270,160029576,2732750993398
1379531422852,lo,2,2,168,168
1379531432861,eth0,804450,790302,223163714,191968582
1379531432861,eth2,48950,25550871500,160029576,2733976956918
1379531432861,lo,2,2,168,168
1379531442868,eth0,804472,790329,223167262,191980408
1379531442868,eth2,48950,25552068730,160029576,2735202920438
1379531442868,lo,2,2,168,168
1379531452878,eth0,804499,790360,223171460,191992502
1379531452878,eth2,48950,25553265960,160029576,2736428883958
1379531452878,lo,2,2,168,168
1379531462886,eth0,804539,790402,223177948,192002302
1379531462886,eth2,48950,25554463190,160029576,2737654846454
1379531462886,lo,2,2,168,168
1379531472893,eth0,804572,790438,223183314,192014826
1379531472893,eth2,48950,25555660419,160029576,2738880809974
1379531472893,lo,2,2,168,168
1379531482900,eth0,804595,790467,223186926,192029576
1379531482900,eth2,48950,25556857649,160029576,2740106773494
1379531482900,lo,2,2,168,168
1379531492909,eth0,804636,790510,223193534,192042616
1379531492909,eth2,48950,25558054879,160029576,2741332737014
1379531492909,lo,2,2,168,168
1379531502916,eth0,804659,790535,223197146,192052480
1379531502916,eth2,48950,25559252109,160029576,2742558700534
1379531502916,lo,2,2,168,168
1379531512925,eth0,804682,790563,223200860,192066324
1379531512925,eth2,48950,25560449339,160029576,2743784664054
1379531512925,lo,2,2,168,168
1379531522934,eth0,804724,790609,223207586,192081782
1379531522934,eth2,48950,25561646569,160029576,2745010627574
1379531522934,lo,2,2,168,168
1379531532941,eth0,804758,790644,223213016,192091122
1379531532941,eth2,48950,25562843799,160029576,2746236591094
1379531532941,lo,2,2,168,168
1379531542948,eth0,804780,790670,223216564,192102558
1379531542948,eth2,48950,25564041029,160029576,2747462554614
1379531542948,lo,2,2,168,168
1379531552957,eth0,804820,790716,223223014,192120616
1379531552957,eth2,48950,25565238259,160029576,2748688517110
1379531552957,lo,2,2,168,168
1379531562964,eth0,804843,790740,223226626,192127266
1379531562964,eth2,48950,25566435488,160029576,2749914480630
1379531562964,lo,2,2,168,168
1379531572973,eth0,804866,790767,223230340,192137900
1379531572973,eth2,48950,25567632718,160029576,2751140444150
1379531572973,lo,2,2,168,168
1379531582981,eth0,804909,790816,223237248,192155456
1379531582981,eth2,48950,25568829948,160029576,2752366407670
1379531582981,lo,2,2,168,168
1379531592987,eth0,804943,790851,223242678,192162884
1379531592987,eth2,48950,25570027178,160029576,2753592371190
1379531592987,lo,2,2,168,168
1379531602994,eth0,804965,790876,223246226,192172366
1379531602994,eth2,48950,25571224408,160029576,2754818334710
1379531602994,lo,2,2,168,168
1379531613002,eth0,805003,790919,223252320,192188148
1379531613002,eth2,48950,25572421638,160029576,2756044298230
1379531613002,lo,2,2,168,168
1379531623008,eth0,805028,790950,223256288,192205704
1379531623008,eth2,48950,25573618868,160029576,2757270261750
1379531623008,lo,2,2,168,168
1379531633017,eth0,805051,790974,223260002,192214312
1379531633017,eth2,48950,25574816456,160029576,2758496591862
1379531633017,lo,2,2,168,168
1379531643025,eth0,805092,791019,223266554,192229536
1379531643025,eth2,48950,25576013686,160029576,2759722555382
1379531643025,lo,2,2,168,168
1379531653031,eth0,805127,791060,223272276,192247802
1379531653031,eth2,48950,25577210916,160029576,2760948517878
1379531653031,lo,2,2,168,168
1379531663038,eth0,805149,791083,223275824,192255296
1379531663038,eth2,48950,25578408145,160029576,2762174481398
1379531663038,lo,2,2,168,168
1379531673047,eth0,805187,791125,223281918,192269110
1379531673047,eth2,48950,25579605375,160029576,2763400444918
1379531673047,lo,2,2,168,168
1379531683053,eth0,805212,791156,223285886,192284750
1379531683053,eth2,48950,25580802605,160029576,2764626408438
1379531683053,lo,2,2,168,168
1379531693062,eth0,805235,791180,223289600,192291442
1379531693062,eth2,48950,25581999835,160029576,2765852371958
1379531693062,lo,2,2,168,168
1379531703069,eth0,805276,791227,223296270,192308048
1379531703069,eth2,48950,25583197065,160029576,2767078335478
1379531703069,lo,2,2,168,168
1379531713075,eth0,805312,791267,223302056,192321550
1379531713075,eth2,48950,25584394295,160029576,2768304298998
1379531713075,lo,2,2,168,168
1379531723082,eth0,805335,791292,223305668,192328490
1379531723082,eth2,48950,25585591525,160029576,2769530262518
1379531723082,lo,2,2,168,168
1379531733090,eth0,805372,791332,223311698,192341546
1379531733090,eth2,48950,25586788755,160029576,2770756226038
1379531733090,lo,2,2,168,168
1379531743096,eth0,805395,791360,223315310,192356156
1379531743096,eth2,48950,25587985985,160029576,2771982188534
1379531743096,lo,2,2,168,168
1379531753105,eth0,805420,791389,223319380,192370838
1379531753105,eth2,48950,25589183214,160029576,2773208152054
1379531753105,lo,2,2,168,168
1379531763114,eth0,805461,791432,223325932,192383418
1379531763114,eth2,48950,25590380444,160029576,2774434115574
1379531763114,lo,2,2,168,168
1379531773121,eth0,805495,791471,223331362,192398802
1379531773121,eth2,48950,25591577674,160029576,2775660079094
1379531773121,lo,2,2,168,168
1379531783129,eth0,805519,791499,223335266,192412374
1379531783129,eth2,48950,25592774904,160029576,2776886042614
1379531783129,lo,2,2,168,168
1379531793137,eth0,805556,791538,223341296,192423476
1379531793137,eth2,48950,25593972134,160029576,2778112006134
1379531793137,lo,2,2,168,168
1379531803144,eth0,805579,791566,223344908,192436170
1379531803144,eth2,48950,25595169364,160029576,2779337969654
1379531803144,lo,2,2,168,168
1379531813153,eth0,805605,791596,223349042,192449004
1379531813153,eth2,48950,25596366594,160029576,2780563933174
1379531813153,lo,2,2,168,168
1379531823162,eth0,805734,791727,223369888,192473462
1379531823162,eth2,48950,25597563824,160029576,2781789896694
1379531823162,lo,2,2,168,168
1379531833168,eth0,805768,791766,223375318,192486930
1379531833168,eth2,48950,25598761054,160029576,2783015859190
1379531833168,lo,2,2,168,168
1379531843176,eth0,805792,791794,223379222,192498586
1379531843176,eth2,48950,25599958283,160029576,2784241822710
1379531843176,lo,2,2,168,168
1379531853185,eth0,805830,791834,223385316,192507840
1379531853185,eth2,48950,25601155513,160029576,2785467786230
1379531853185,lo,2,2,168,168
1379531863192,eth0,805853,791860,223388928,192518546
1379531863192,eth2,48950,25602352743,160029576,2786693749750
1379531863192,lo,2,2,168,168
1379531873200,eth0,805875,791885,223392460,192528916
1379531873200,eth2,48950,25603549973,160029576,2787919713270
1379531873200,lo,2,2,168,168
1379531883209,eth0,805917,791933,223399304,192549124
1379531883209,eth2,48950,25604747203,160029576,2789145676790
1379531883209,lo,2,2,168,168
1379531893215,eth0,805951,791968,223404734,192559268
1379531893215,eth2,48950,25605944433,160029576,2790371640310
1379531893215,lo,2,2,168,168
1379531903223,eth0,805974,791995,223408346,192571572
1379531903223,eth2,48950,25607141663,160029576,2791597603830
1379531903223,lo,2,2,168,168
1379531913232,eth0,806013,792040,223414732,192590370
1379531913232,eth2,48950,25608338893,160029576,2792823567350
1379531913232,lo,2,2,168,168
1379531923239,eth0,806036,792064,223418344,192597824
1379531923239,eth2,48950,25609536122,160029576,2794049529846
1379531923239,lo,2,2,168,168
1379531933248,eth0,806059,792091,223422058,192609262
1379531933248,eth2,48950,25610733352,160029576,2795275493366
1379531933248,lo,2,2,168,168
1379531943257,eth0,806101,792139,223428902,192627558
1379531943257,eth2,48950,25611930940,160029576,2796501823478
1379531943257,lo,2,2,168,168
1379531953264,eth0,806135,792174,223434332,192635790
1379531953264,eth2,48950,25613128170,160029576,2797727786998
1379531953264,lo,2,2,168,168
1379531963272,eth0,806158,792201,223437944,192646178
1379531963272,eth2,48950,25614325400,160029576,2798953750518
