date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379476407100,eth0,295637,272076,125736028,72486470
1379476407100,eth7,5012003954,28665,1207617918980,8044744
1379476407100,lo,0,0,0,0
1379476417108,eth0,295660,272099,125739742,72492604
1379476417108,eth7,5012003954,28665,1207617918980,8044744
1379476417108,lo,0,0,0,0
1379476427120,eth0,295697,272138,125745772,72504774
1379476427120,eth7,5012003954,28665,1207617918980,8044744
1379476427120,lo,0,0,0,0
1379476437129,eth0,295732,272178,125751454,72520482
1379476437129,eth7,5012003954,28665,1207617918980,8044744
1379476437129,lo,0,0,0,0
1379476447137,eth0,295772,272222,125757880,72536524
1379476447137,eth7,5012003954,28665,1207617918980,8044744
1379476447137,lo,0,0,0,0
1379476457145,eth0,295795,272247,125761492,72545352
1379476457145,eth7,5012003954,28665,1207617918980,8044744
1379476457145,lo,0,0,0,0
1379476467152,eth0,295818,272275,125765206,72558140
1379476467152,eth7,5012003954,28665,1207617918980,8044744
1379476467152,lo,0,0,0,0
1379476477161,eth0,295843,272304,125769276,72570882
1379476477161,eth7,5012003954,28665,1207617918980,8044744
1379476477161,lo,0,0,0,0
1379476487172,eth0,295880,272343,125775306,72580976
1379476487172,eth7,5012003954,28665,1207617918980,8044744
1379476487172,lo,0,0,0,0
1379476497181,eth0,295916,272384,125781052,72594672
1379476497181,eth7,5012003954,28665,1207617918980,8044744
1379476497181,lo,0,0,0,0
1379476507188,eth0,295956,272428,125787478,72608638
1379476507188,eth7,5012003954,28665,1207617918980,8044744
1379476507188,lo,0,0,0,0
1379476517196,eth0,295978,272452,125791026,72615326
1379476517196,eth7,5012003954,28665,1207617918980,8044744
1379476517196,lo,0,0,0,0
1379476527204,eth0,296001,272478,125794740,72625962
1379476527204,eth7,5012003954,28665,1207617918980,8044744
1379476527204,lo,0,0,0,0
1379476537212,eth0,296025,272507,125798518,72640486
1379476537212,eth7,5012003954,28665,1207617918980,8044744
1379476537212,lo,0,0,0,0
1379476547224,eth0,296064,272550,125804904,72657112
1379476547224,eth7,5012003954,28665,1207617918980,8044744
1379476547224,lo,0,0,0,0
1379476557233,eth0,296100,272588,125810650,72668618
1379476557233,eth7,5012003954,28665,1207617918980,8044744
1379476557233,lo,0,0,0,0
1379476567241,eth0,296137,272630,125816656,72684238
1379476567241,eth7,5012003954,28665,1207617918980,8044744
1379476567241,lo,0,0,0,0
1379476577249,eth0,296161,272658,125820560,72697458
1379476577249,eth7,5012003954,28665,1207617918980,8044744
1379476577249,lo,0,0,0,0
1379476587257,eth0,296185,272684,125824338,72706044
1379476587257,eth7,5012003954,28665,1207617918980,8044744
1379476587257,lo,0,0,0,0
1379476597265,eth0,296208,272712,125828052,72718428
1379476597265,eth7,5012003954,28665,1207617918980,8044744
1379476597265,lo,0,0,0,0
1379476607277,eth0,296248,272756,125834502,72733042
1379476607277,eth7,5012003954,28665,1207617918980,8044744
1379476607277,lo,0,0,0,0
1379476617286,eth0,296283,272793,125840184,72742408
