date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379446600916,eth0,180212,143644,101972012,26574104
1379446600916,eth2,2146,1851058791,152420646,224991966074
1379446600916,lo,2,2,168,168
1379446610925,eth0,180234,143666,101975544,26578820
1379446610925,eth2,2156,1859504116,152422206,226072967546
1379446610925,lo,2,2,168,168
1379446620933,eth0,180271,143704,101981574,26589800
1379446620933,eth2,2166,1867949440,152423766,227153969018
1379446620933,lo,2,2,168,168
1379446630939,eth0,180309,143746,101987644,26604638
1379446630939,eth2,2177,1876394765,152425390,228234970554
1379446630939,lo,2,2,168,168
1379446640947,eth0,180350,143793,101994276,26624774
1379446640947,eth2,2187,1884840089,152426950,229315972026
1379446640947,lo,2,2,168,168
1379446650954,eth0,180371,143815,101997642,26631226
1379446650954,eth2,2197,1893285413,152428510,230396973626
1379446650954,lo,2,2,168,168
1379446660960,eth0,180394,143842,102001254,26642726
1379446660960,eth2,2208,1901730738,152430134,231477975162
1379446660960,lo,2,2,168,168
1379446670969,eth0,180419,143873,102005324,26658504
1379446670969,eth2,2218,1910176062,152431694,232558976634
1379446670969,lo,2,2,168,168
1379446680976,eth0,180456,143911,102011236,26667338
1379446680976,eth2,2228,1918621387,152433254,233639978106
1379446680976,lo,2,2,168,168
1379446690983,eth0,180494,143953,102017306,26680208
1379446690983,eth2,2239,1927066712,152434878,234720979642
1379446690983,lo,2,2,168,168
1379446700991,eth0,180533,143998,102023692,26697210
1379446700991,eth2,2249,1935512036,152436438,235801981114
1379446700991,lo,2,2,168,168
1379446710997,eth0,180555,144021,102027240,26702796
1379446710997,eth2,2259,1943957360,152437998,236882982714
1379446710997,lo,2,2,168,168
1379446721004,eth0,180578,144047,102030852,26712290
1379446721004,eth2,2270,1952402685,152439622,237963984122
1379446721004,lo,2,2,168,168
1379446731012,eth0,180602,144075,102034630,26725748
1379446731012,eth2,2280,1960848009,152441182,239044985722
1379446731012,lo,2,2,168,168
1379446741020,eth0,180641,144120,102041016,26746742
1379446741020,eth2,2290,1969293334,152442742,240125987194
1379446741020,lo,2,2,168,168
1379446751026,eth0,180678,144159,102047022,26758760
1379446751026,eth2,2301,1977738658,152444366,241206988730
1379446751026,lo,2,2,168,168
1379446761034,eth0,180715,144199,102052934,26770774
1379446761034,eth2,2311,1986183983,152445926,242287990202
1379446761034,lo,2,2,168,168
1379446771041,eth0,180740,144230,102056902,26787274
1379446771041,eth2,2321,1994629307,152447486,243368991674
1379446771041,lo,2,2,168,168
1379446781047,eth0,180762,144253,102060450,26794660
1379446781047,eth2,2331,2003074631,152449046,244449993274
1379446781047,lo,2,2,168,168
1379446791055,eth0,180786,144281,102064228,26806150
1379446791055,eth2,2342,2011522483,152450670,245531318138
1379446791055,lo,2,2,168,168
1379446801063,eth0,180825,144326,102070614,26824520
1379446801063,eth2,2352,2019967807,152452230,246612319738
1379446801063,lo,2,2,168,168
1379446811070,eth0,180863,144366,102076684,26834634
1379446811070,eth2,2362,2028413132,152453790,247693321210
1379446811070,lo,2,2,168,168
1379446821078,eth0,180901,144409,102082778,26848642
1379446821078,eth2,2373,2036858457,152455414,248774322746
1379446821078,lo,2,2,168,168
1379446831084,eth0,180925,144437,102086682,26860194
1379446831084,eth2,2383,2045303781,152456974,249855324218
1379446831084,lo,2,2,168,168
1379446841090,eth0,180947,144461,102090230,26866906
1379446841090,eth2,2393,2053749105,152458534,250936325818
1379446841090,lo,2,2,168,168
1379446851098,eth0,180971,144488,102094008,26877646
1379446851098,eth2,2404,2062194430,152460158,252017327226
1379446851098,lo,2,2,168,168
1379446861105,eth0,181008,144530,102099920,26894272
1379446861105,eth2,2414,2070639754,152461718,253098328826
1379446861105,lo,2,2,168,168
1379446871112,eth0,181047,144573,102106282,26910962
1379446871112,eth2,2424,2079085079,152463278,254179330298
1379446871112,lo,2,2,168,168
1379446881120,eth0,181084,144612,102112312,26922824
1379446881120,eth2,2435,2087530403,152464902,255260331834
1379446881120,lo,2,2,168,168
1379446891127,eth0,181107,144640,102115924,26936266
1379446891127,eth2,2445,2095975728,152466462,256341333306
1379446891127,lo,2,2,168,168
1379446901133,eth0,181132,144669,102119892,26949682
