executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,5983152,3.722074802
./mem-walk-no-thread-no-thrash,6278571,4.104818004
./mem-walk-no-thread-no-thrash,7285506,4.192101144
./mem-walk-no-thread-no-thrash,6348216,3.298531098
./mem-walk-no-thread-no-thrash,6805374,3.761617456
./mem-walk-no-thread,747892585,19.021996891
./mem-walk-no-thread,751906946,19.058172334
./mem-walk-no-thread,749853851,19.020918264
./mem-walk-no-thread,751770186,19.079632630
./mem-walk-no-thread,751021921,19.022987672
./mem-walk-no-thrash,20108848,6.124691392
./mem-walk-no-thrash,22342027,6.138737554
./mem-walk-no-thrash,22611787,6.111366658
./mem-walk-no-thrash,22436817,6.111883422
./mem-walk-no-thrash,23479686,6.111203452
./mem-walk,2849770466,69.243391262
./mem-walk,2854615331,69.397101351
./mem-walk,2829656853,68.930268165
./mem-walk,2776056177,68.299822886
./mem-walk,2805509855,68.402154535
