executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3608206,3.712283183
./mem-walk-no-thread-no-thrash,3723550,3.666053399
./mem-walk-no-thread-no-thrash,3566112,3.287056992
./mem-walk-no-thread-no-thrash,3575046,3.322392135
./mem-walk-no-thread-no-thrash,3469490,3.241862852
./mem-walk-no-thread,761480587,17.608526953
./mem-walk-no-thread,759454568,17.646777131
./mem-walk-no-thread,760827470,17.598896670
./mem-walk-no-thread,763075230,17.693216107
./mem-walk-no-thread,765044130,17.629867526
./mem-walk-no-thrash,5303562,5.722154395
./mem-walk-no-thrash,12247799,5.878795339
./mem-walk-no-thrash,9788283,5.878707338
./mem-walk-no-thrash,10894618,5.842247793
./mem-walk-no-thrash,7028541,5.749674317
./mem-walk,1906742713,47.242270042
./mem-walk,1715965244,44.737335199
./mem-walk,2049256594,49.137107881
./mem-walk,1988157025,48.289424485
./mem-walk,1678961234,45.616016174
