executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3600107,3.151585581
./mem-walk-no-thread-no-thrash,3649427,3.250812788
./mem-walk-no-thread-no-thrash,3686650,3.592680505
./mem-walk-no-thread-no-thrash,3638371,4.007601079
./mem-walk-no-thread-no-thrash,3802144,4.000767457
./mem-walk-no-thread,755735297,17.650186208
./mem-walk-no-thread,755560681,17.664335103
./mem-walk-no-thread,755380906,17.633178977
./mem-walk-no-thread,756832283,17.645763088
./mem-walk-no-thread,755483755,17.676194434
./mem-walk-no-thrash,6962461,5.745925606
./mem-walk-no-thrash,3937664,5.702656728
./mem-walk-no-thrash,11031404,5.806162139
./mem-walk-no-thrash,13698673,5.990293850
./mem-walk-no-thrash,4893400,5.738779780
./mem-walk,2342782076,52.955863363
./mem-walk,1652955428,45.251767000
./mem-walk,1938850809,49.468373408
./mem-walk,2181066227,50.825794058
./mem-walk,2237718929,51.528735172
