executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3594305,3.429291633
./mem-walk-no-thread-no-thrash,3399693,3.113531957
./mem-walk-no-thread-no-thrash,3471512,3.115212150
./mem-walk-no-thread-no-thrash,3679812,3.771814222
./mem-walk-no-thread-no-thrash,3670407,4.115618020
./mem-walk-no-thread,764003648,17.650415715
./mem-walk-no-thread,759318775,17.660100339
./mem-walk-no-thread,760461387,17.673913033
./mem-walk-no-thread,761633421,17.652226585
./mem-walk-no-thread,752879021,17.647738624
./mem-walk-no-thrash,7309460,6.130741949
./mem-walk-no-thrash,6968368,5.834748921
./mem-walk-no-thrash,8455156,5.845942583
./mem-walk-no-thrash,9339401,6.035822351
./mem-walk-no-thrash,8985699,5.658426516
./mem-walk,1761904752,45.366142520
./mem-walk,2139522685,50.281593917
./mem-walk,2160470733,50.531705619
./mem-walk,2195937253,51.027054644
./mem-walk,1986890443,50.217145514
