executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3670081,3.905035509
./mem-walk-no-thread-no-thrash,3387423,3.213305730
./mem-walk-no-thread-no-thrash,3342656,3.373521911
./mem-walk-no-thread-no-thrash,3549583,3.487741942
./mem-walk-no-thread-no-thrash,3555162,3.934908882
./mem-walk-no-thread-no-thrash,3471695,3.713576339
./mem-walk-no-thread-no-thrash,3558776,3.831673241
./mem-walk-no-thread-no-thrash,3311406,3.194383835
./mem-walk-no-thread-no-thrash,3702618,4.021505266
./mem-walk-no-thread-no-thrash,3480305,3.437544493
./mem-walk-no-thread,593947794,11.092641973
./mem-walk-no-thread,591760867,11.159309051
./mem-walk-no-thread,583091719,11.065912631
./mem-walk-no-thread,603514978,11.162319926
./mem-walk-no-thread,585398103,11.103141134
./mem-walk-no-thread,588000060,11.097424431
./mem-walk-no-thread,589632670,11.117729840
./mem-walk-no-thread,593655817,11.103110393
./mem-walk-no-thread,588557624,11.081916000
./mem-walk-no-thread,581441175,11.122053718
./mem-walk-no-thrash,11232221,11.180429567
./mem-walk-no-thrash,5529251,11.092116885
./mem-walk-no-thrash,20182997,11.323642294
./mem-walk-no-thrash,17538753,11.409204174
./mem-walk-no-thrash,16900380,11.230363132
./mem-walk-no-thrash,5466781,11.089768147
./mem-walk-no-thrash,26331651,11.314032311
./mem-walk-no-thrash,11207381,11.132333089
./mem-walk-no-thrash,11892596,11.342474638
./mem-walk-no-thrash,23119291,11.184693569
./mem-walk,1873840556,49.699801570
./mem-walk,2198658533,51.004255948
./mem-walk,1645550530,49.715740228
./mem-walk,1825680525,50.253878350
./mem-walk,2316333352,53.441254332
./mem-walk,1586565489,50.096155101
./mem-walk,1881334843,50.620680668
./mem-walk,1753899564,49.996827254
./mem-walk,1591273198,49.855113348
./mem-walk,1563596718,49.691295025
