executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3380381,3.104645912
./mem-walk-no-thread-no-thrash,3370912,3.105745607
./mem-walk-no-thread-no-thrash,3434416,3.252865986
./mem-walk-no-thread-no-thrash,3563308,3.778915397
./mem-walk-no-thread-no-thrash,3632610,3.490750157
./mem-walk-no-thread-no-thrash,3474552,3.408403838
./mem-walk-no-thread-no-thrash,3518656,3.399770550
./mem-walk-no-thread-no-thrash,3589280,3.893771888
./mem-walk-no-thread-no-thrash,3744830,4.081988054
./mem-walk-no-thread-no-thrash,3791589,4.129072037
./mem-walk-no-thread,533601833,10.911514073
./mem-walk-no-thread,545093741,10.888449876
./mem-walk-no-thread,602572057,11.034740709
./mem-walk-no-thread,591653718,11.034868761
./mem-walk-no-thread,595332641,11.080187264
./mem-walk-no-thread,590875985,11.013907158
./mem-walk-no-thread,590899846,11.020688915
./mem-walk-no-thread,601210771,11.001084734
./mem-walk-no-thread,594991681,11.008678668
./mem-walk-no-thread,585786834,11.037159518
./mem-walk-no-thrash,6113731,11.096714402
./mem-walk-no-thrash,9425149,11.112572157
./mem-walk-no-thrash,11736929,11.986157523
./mem-walk-no-thrash,12347630,11.127062051
./mem-walk-no-thrash,5596559,11.097522673
./mem-walk-no-thrash,17935305,11.279520144
./mem-walk-no-thrash,5618760,11.080516650
./mem-walk-no-thrash,6164459,11.131331531
./mem-walk-no-thrash,9806166,11.234192292
./mem-walk-no-thrash,12223866,11.055118633
./mem-walk,1562774995,50.880870955
./mem-walk,1782297633,51.943227497
./mem-walk,3171741651,60.939370671
./mem-walk,1956803088,54.224386538
./mem-walk,1744997039,51.953769893
./mem-walk,1651450646,52.468976323
./mem-walk,1323205686,50.371275839
./mem-walk,1292986797,50.113159045
./mem-walk,1764511081,52.268651868
./mem-walk,2838299054,58.830366866
