executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,4833105,4.103399454
./mem-walk-no-thread-no-thrash,4697282,3.672230688
./mem-walk-no-thread-no-thrash,4405558,3.203263929
./mem-walk-no-thread-no-thrash,4675582,3.796498020
./mem-walk-no-thread-no-thrash,4889696,4.110011896
./mem-walk-no-thread-no-thrash,4780851,3.891576498
./mem-walk-no-thread-no-thrash,4662862,3.715809267
./mem-walk-no-thread-no-thrash,4994243,4.143180473
./mem-walk-no-thread-no-thrash,4859312,3.831294201
./mem-walk-no-thread-no-thrash,4804029,3.626258352
./mem-walk-no-thread,515695719,11.903879091
./mem-walk-no-thread,511440035,11.889258792
./mem-walk-no-thread,503309278,11.920969662
./mem-walk-no-thread,512799527,11.921421026
./mem-walk-no-thread,506646233,11.857161517
./mem-walk-no-thread,520138241,11.867798389
./mem-walk-no-thread,500804934,11.937545617
./mem-walk-no-thread,512089254,11.840191958
./mem-walk-no-thread,508469947,11.880168245
./mem-walk-no-thread,495890875,11.917334508
./mem-walk-no-thrash,35824519,11.573494935
./mem-walk-no-thrash,40089627,12.403425124
./mem-walk-no-thrash,39573363,11.542935562
./mem-walk-no-thrash,41101584,11.724615116
./mem-walk-no-thrash,36993127,11.724136488
./mem-walk-no-thrash,39937190,11.632885685
./mem-walk-no-thrash,38813473,11.614315609
./mem-walk-no-thrash,40251846,11.527304486
./mem-walk-no-thrash,39967627,11.605943566
./mem-walk-no-thrash,38617022,11.735042814
./mem-walk,8296421593,104.495053826
./mem-walk,8346189274,105.169731507
./mem-walk,8864887616,109.702516485
./mem-walk,8384837885,105.057072591
./mem-walk,8558138990,105.318042331
./mem-walk,8938428009,109.193477208
./mem-walk,8750312142,107.897628159
./mem-walk,8520785162,108.313411675
./mem-walk,8862397494,109.616526137
./mem-walk,8307488780,104.611086294
