executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3365757,3.244225114
./mem-walk-no-thread-no-thrash,3537167,3.851868993
./mem-walk-no-thread-no-thrash,3586737,3.935025816
./mem-walk-no-thread-no-thrash,3623395,3.438146448
./mem-walk-no-thread-no-thrash,3650702,3.939046507
./mem-walk-no-thread-no-thrash,3413704,3.538375364
./mem-walk-no-thread-no-thrash,3351219,3.251847793
./mem-walk-no-thread-no-thrash,3379869,3.236656625
./mem-walk-no-thread-no-thrash,3535070,3.850948417
./mem-walk-no-thread-no-thrash,3440167,3.424206099
./mem-walk-no-thread,606914950,11.086050169
./mem-walk-no-thread,583772452,11.072829442
./mem-walk-no-thread,598435081,11.074027084
./mem-walk-no-thread,582677684,11.072089997
./mem-walk-no-thread,601192793,11.064477305
./mem-walk-no-thread,582952895,11.120819027
./mem-walk-no-thread,593770335,11.060245937
./mem-walk-no-thread,607476728,11.062271913
./mem-walk-no-thread,596004730,11.073677390
./mem-walk-no-thread,596466824,11.041913140
./mem-walk-no-thrash,17779661,11.181307886
./mem-walk-no-thrash,19186261,11.231655644
./mem-walk-no-thrash,19689043,11.290419425
./mem-walk-no-thrash,21391307,11.340030842
./mem-walk-no-thrash,25328866,11.344092546
./mem-walk-no-thrash,17371656,11.181563207
./mem-walk-no-thrash,25769100,11.600072799
./mem-walk-no-thrash,20606656,11.328509963
./mem-walk-no-thrash,6069629,11.092679953
./mem-walk-no-thrash,17159709,11.341680292
./mem-walk,1912715033,50.070932731
./mem-walk,1518050025,50.169863969
./mem-walk,1810329748,50.106048844
./mem-walk,1668631574,49.942698528
./mem-walk,1507662522,49.741802078
./mem-walk,1730491124,50.966978144
./mem-walk,1842463070,49.885301626
./mem-walk,2065158664,51.690025561
./mem-walk,1822913675,50.471416129
./mem-walk,1441579257,49.880400989
