executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,4244927,3.350821976
./mem-walk-no-thread-no-thrash,4176174,3.552349826
./mem-walk-no-thread-no-thrash,4157454,3.319279947
./mem-walk-no-thread-no-thrash,4115036,3.339401710
./mem-walk-no-thread-no-thrash,4417252,3.929482670
./mem-walk-no-thread,566858598,11.471987051
./mem-walk-no-thread,569703661,11.470449221
./mem-walk-no-thread,559291595,11.471678372
./mem-walk-no-thread,567746713,11.479532516
./mem-walk-no-thread,556373403,11.516028239
./mem-walk-no-thrash,13976770,6.359357360
./mem-walk-no-thrash,16599263,6.261809730
./mem-walk-no-thrash,16763714,5.996481698
./mem-walk-no-thrash,17531925,6.274339691
./mem-walk-no-thrash,19310777,6.167612369
./mem-walk,1882339928,31.998800168
./mem-walk,775638281,25.093219682
./mem-walk,819979283,24.990136149
./mem-walk,893735592,25.286810906
./mem-walk,842518984,25.047349550
