executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,5689002,3.706624130
./mem-walk-no-thread-no-thrash,3456872,3.202128912
./mem-walk-no-thread-no-thrash,3640856,3.762889898
./mem-walk-no-thread-no-thrash,3465524,3.078995374
./mem-walk-no-thread-no-thrash,3632548,4.036550950
./mem-walk-no-thread,585647292,11.906307681
./mem-walk-no-thread,579073926,11.016442906
./mem-walk-no-thread,577124330,11.033952702
./mem-walk-no-thread,592296324,11.037029580
./mem-walk-no-thread,583017885,11.028863691
./mem-walk-no-thrash,6000853,5.865919680
./mem-walk-no-thrash,7828394,5.768130482
./mem-walk-no-thrash,6629684,5.727250214
./mem-walk-no-thrash,10548685,5.779496393
./mem-walk-no-thrash,6242546,5.758322311
./mem-walk,824693458,25.834857713
./mem-walk,768187213,25.106345640
./mem-walk,963634771,25.300125551
./mem-walk,847476397,25.210326631
./mem-walk,702893253,24.959939496
