executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3904159,3.372416267
./mem-walk-no-thread-no-thrash,4076995,3.889591437
./mem-walk-no-thread-no-thrash,4085623,4.202169713
./mem-walk-no-thread-no-thrash,4222424,4.011474508
./mem-walk-no-thread-no-thrash,4164877,4.052559932
./mem-walk-no-thread,577411898,11.204126540
./mem-walk-no-thread,581539457,11.172093491
./mem-walk-no-thread,582294715,11.185836899
./mem-walk-no-thread,592867573,11.183272343
./mem-walk-no-thread,580065151,11.184423846
./mem-walk-no-thrash,7803414,6.135757951
./mem-walk-no-thrash,13934253,6.147017408
./mem-walk-no-thrash,9580733,6.138042320
./mem-walk-no-thrash,8259654,6.128445484
./mem-walk-no-thrash,8454779,6.130137223
./mem-walk,3524165022,46.051631365
./mem-walk,3363874596,44.363844030
./mem-walk,3768160162,47.826615697
./mem-walk,3572063825,45.882753326
./mem-walk,3361369278,44.499524076
