executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3850610,3.823757950
./mem-walk-no-thread-no-thrash,3664937,3.742313198
./mem-walk-no-thread-no-thrash,3417007,3.169995584
./mem-walk-no-thread-no-thrash,3346712,3.132054634
./mem-walk-no-thread-no-thrash,3556960,3.898323108
./mem-walk-no-thread,537434649,10.865064569
./mem-walk-no-thread,550988615,10.882227486
./mem-walk-no-thread,533981527,10.844040500
./mem-walk-no-thread,543494496,10.859307493
./mem-walk-no-thread,553132627,10.880700848
./mem-walk-no-thrash,8650668,5.954776751
./mem-walk-no-thrash,12696098,5.815350265
./mem-walk-no-thrash,10917335,5.826119856
./mem-walk-no-thrash,9886854,5.764468862
./mem-walk-no-thrash,8426239,5.890505821
./mem-walk,844922031,24.808105995
./mem-walk,872264719,25.102730281
./mem-walk,1038329681,24.430909111
./mem-walk,788587390,24.905431555
./mem-walk,793818856,25.013299788
