executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3931281,3.603127267
./mem-walk-no-thread-no-thrash,3751351,3.642051863
./mem-walk-no-thread-no-thrash,3833289,3.996107380
./mem-walk-no-thread-no-thrash,3733382,3.946195478
./mem-walk-no-thread-no-thrash,3656344,3.931097897
./mem-walk-no-thread,460246107,11.457567992
./mem-walk-no-thread,467289924,11.448199150
./mem-walk-no-thread,475504139,11.453272636
./mem-walk-no-thread,463796009,11.429032369
./mem-walk-no-thread,468979902,11.431867891
./mem-walk-no-thrash,9996700,6.116815704
./mem-walk-no-thrash,13933609,6.186706445
./mem-walk-no-thrash,14495250,6.107617828
./mem-walk-no-thrash,7777921,6.117532674
./mem-walk-no-thrash,12484477,5.986322085
./mem-walk,3631209878,46.108223623
./mem-walk,3745351566,47.688172090
./mem-walk,3571666515,46.031628386
./mem-walk,3576752621,45.834172792
./mem-walk,3370605817,43.756722051
