executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3560434,3.296535359
./mem-walk-no-thread-no-thrash,3590977,3.153446338
./mem-walk-no-thread-no-thrash,3682606,3.901241324
./mem-walk-no-thread-no-thrash,3356483,3.137961460
./mem-walk-no-thread-no-thrash,3530739,3.730640238
./mem-walk-no-thread,581668643,11.059811264
./mem-walk-no-thread,579805097,11.038832706
./mem-walk-no-thread,600416641,11.089327651
./mem-walk-no-thread,597530201,11.072321147
./mem-walk-no-thread,593965030,11.054190000
./mem-walk-no-thrash,14108272,5.981280858
./mem-walk-no-thrash,4678756,5.718586271
./mem-walk-no-thrash,3857806,5.706012871
./mem-walk-no-thrash,6567851,5.871896313
./mem-walk-no-thrash,7431236,5.759640092
./mem-walk,1062836322,24.950981193
./mem-walk,774968598,25.020951749
./mem-walk,943152666,24.664634451
./mem-walk,894714072,25.306990632
./mem-walk,735079924,24.911569640
