executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3729095,4.131597847
./mem-walk-no-thread-no-thrash,3786141,3.973556647
./mem-walk-no-thread-no-thrash,3552808,3.590005436
./mem-walk-no-thread-no-thrash,3513816,3.178274466
./mem-walk-no-thread-no-thrash,3785507,4.223739218
./mem-walk-no-thread-no-thrash,3616028,3.743742564
./mem-walk-no-thread-no-thrash,3508885,3.153293108
./mem-walk-no-thread-no-thrash,3621209,4.000656464
./mem-walk-no-thread-no-thrash,3791115,4.012058439
./mem-walk-no-thread-no-thrash,3372545,3.154095591
./mem-walk-no-thread,542299450,10.978966773
./mem-walk-no-thread,553171251,10.949943682
./mem-walk-no-thread,552005126,10.926455784
./mem-walk-no-thread,557148893,10.937885484
./mem-walk-no-thread,533031077,10.897792762
./mem-walk-no-thread,562363806,10.915107175
./mem-walk-no-thread,553291940,10.882720755
./mem-walk-no-thread,545107315,10.867401708
./mem-walk-no-thread,541286609,10.896571608
./mem-walk-no-thread,594879072,11.057735089
./mem-walk-no-thrash,17003582,11.383871247
./mem-walk-no-thrash,13006364,11.178232885
./mem-walk-no-thrash,6249005,11.089498320
./mem-walk-no-thrash,19332341,11.430510268
./mem-walk-no-thrash,10780046,11.401439162
./mem-walk-no-thrash,12107318,11.178639492
./mem-walk-no-thrash,14502747,11.127924778
./mem-walk-no-thrash,9784217,11.175125897
./mem-walk-no-thrash,19376504,11.343171353
./mem-walk-no-thrash,13848458,11.274068655
./mem-walk,1804755752,50.669783738
./mem-walk,2030871241,52.521372122
./mem-walk,1943589954,51.271436986
./mem-walk,1684327299,50.372848913
./mem-walk,1721596114,50.534358012
./mem-walk,1971703363,51.763075777
./mem-walk,1627163723,50.176716991
./mem-walk,1681611403,49.861251874
./mem-walk,1793087149,49.684506612
./mem-walk,1846117864,50.813666429
