executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3627514,3.745479866
./mem-walk-no-thread-no-thrash,3479746,3.253868721
./mem-walk-no-thread-no-thrash,3563789,3.485743580
./mem-walk-no-thread-no-thrash,3605047,3.520543206
./mem-walk-no-thread-no-thrash,3587184,3.531011587
./mem-walk-no-thread-no-thrash,3957505,4.181154476
./mem-walk-no-thread-no-thrash,3515530,3.234782510
./mem-walk-no-thread-no-thrash,3829875,3.916044225
./mem-walk-no-thread-no-thrash,3768918,3.924239492
./mem-walk-no-thread-no-thrash,3463346,3.103504352
./mem-walk-no-thread,601175363,11.089841852
./mem-walk-no-thread,579164189,11.063199218
./mem-walk-no-thread,595892753,11.079434820
./mem-walk-no-thread,596313792,11.077528544
./mem-walk-no-thread,589311140,11.084203298
./mem-walk-no-thread,588555554,11.100316414
./mem-walk-no-thread,593545231,11.081207890
./mem-walk-no-thread,583301917,11.080527487
./mem-walk-no-thread,591871843,11.080689454
./mem-walk-no-thread,595305187,11.084954692
./mem-walk-no-thrash,14460116,11.165065852
./mem-walk-no-thrash,15314766,11.189877695
./mem-walk-no-thrash,10303320,11.109817080
./mem-walk-no-thrash,27313270,11.350228855
./mem-walk-no-thrash,22249013,11.215404140
./mem-walk-no-thrash,14235178,11.428595829
./mem-walk-no-thrash,16058839,11.187058715
./mem-walk-no-thrash,26697463,11.348947340
./mem-walk-no-thrash,16272380,11.413490342
./mem-walk-no-thrash,22233006,11.260423269
./mem-walk,1790163921,50.738330547
./mem-walk,1758575603,49.791545092
./mem-walk,1906181214,50.793134142
./mem-walk,1823846319,50.432129675
./mem-walk,2178887358,53.091760651
./mem-walk,1912135502,50.957284594
./mem-walk,1874791627,50.740753544
./mem-walk,2684405989,56.146237199
./mem-walk,2002674087,51.471723242
./mem-walk,1698088212,50.115706658
