executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3887261,4.166820313
./mem-walk-no-thread-no-thrash,3538285,3.528859464
./mem-walk-no-thread-no-thrash,3375026,2.992083606
./mem-walk-no-thread-no-thrash,3701690,4.145905557
./mem-walk-no-thread-no-thrash,3599679,3.827161700
./mem-walk-no-thread-no-thrash,3692166,3.891553118
./mem-walk-no-thread-no-thrash,3711990,4.144859320
./mem-walk-no-thread-no-thrash,3802809,4.166039332
./mem-walk-no-thread-no-thrash,3421737,3.255387515
./mem-walk-no-thread-no-thrash,3476255,3.414508980
./mem-walk-no-thread,586586105,11.015553769
./mem-walk-no-thread,584354331,11.039377255
./mem-walk-no-thread,586455184,11.004115986
./mem-walk-no-thread,594219339,11.042011275
./mem-walk-no-thread,585671419,11.022361029
./mem-walk-no-thread,600647961,11.027655650
./mem-walk-no-thread,584087978,11.021023913
./mem-walk-no-thread,583761586,11.039616845
./mem-walk-no-thread,597398115,11.030990571
./mem-walk-no-thread,594490631,11.014619084
./mem-walk-no-thrash,18785515,11.251776288
./mem-walk-no-thrash,6779410,11.110615220
./mem-walk-no-thrash,23017630,11.292897568
./mem-walk-no-thrash,17876127,11.361155641
./mem-walk-no-thrash,26095823,11.456618557
./mem-walk-no-thrash,22350827,11.352493592
./mem-walk-no-thrash,21678345,11.259314108
./mem-walk-no-thrash,18927956,11.263103285
./mem-walk-no-thrash,7710753,11.146805958
./mem-walk-no-thrash,17686603,11.602438722
./mem-walk,1438380995,48.992318512
./mem-walk,1950553418,49.703030103
./mem-walk,1830875270,50.020426002
./mem-walk,1882751127,49.725087630
./mem-walk,2104632004,50.638166813
./mem-walk,1929990847,52.181947949
./mem-walk,2063966883,50.050632079
./mem-walk,2257023453,52.342261775
./mem-walk,1782241538,49.503820309
./mem-walk,1939661870,49.838730827
