executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,4466538,3.851628586
./mem-walk-no-thread-no-thrash,4497347,4.152557324
./mem-walk-no-thread-no-thrash,4379973,3.442969520
./mem-walk-no-thread-no-thrash,4308060,3.597270057
./mem-walk-no-thread-no-thrash,4478821,4.051436213
./mem-walk-no-thread-no-thrash,4396225,3.631037127
./mem-walk-no-thread-no-thrash,4467088,3.780461035
./mem-walk-no-thread-no-thrash,4537339,3.806997873
./mem-walk-no-thread-no-thrash,4529195,3.691885165
./mem-walk-no-thread-no-thrash,4239542,3.145844096
./mem-walk-no-thread,581210913,11.197158228
./mem-walk-no-thread,591024235,11.206764032
./mem-walk-no-thread,580237711,11.206025210
./mem-walk-no-thread,580250298,11.209440773
./mem-walk-no-thread,573077676,11.205971998
./mem-walk-no-thread,590696014,11.200300061
./mem-walk-no-thread,598492311,11.241681992
./mem-walk-no-thread,598740943,11.227508522
./mem-walk-no-thread,592633248,11.212785269
./mem-walk-no-thread,592344183,11.199099480
./mem-walk-no-thrash,25910294,11.921939903
./mem-walk-no-thrash,28979204,12.045273633
./mem-walk-no-thrash,30560636,12.049271013
./mem-walk-no-thrash,29682417,12.035886830
./mem-walk-no-thrash,26070217,12.051146667
./mem-walk-no-thrash,28915729,12.039038707
./mem-walk-no-thrash,24431345,12.040919370
./mem-walk-no-thrash,37795777,12.042620448
./mem-walk-no-thrash,36141841,12.028911648
./mem-walk-no-thrash,26596719,12.025709645
./mem-walk,4386233466,69.102439113
./mem-walk,4480408258,70.317121202
./mem-walk,6076611922,83.052887144
./mem-walk,4406072232,69.410524800
./mem-walk,4758427415,72.129158013
./mem-walk,4507611195,70.465931026
./mem-walk,4669349285,71.422862392
./mem-walk,5104444137,75.721865395
./mem-walk,5684416414,79.877046682
./mem-walk,5439596902,79.132652228
