executable,cachemisses,runningtime
sleep,10569970,30.001412468
sleep,10510463,30.001462557
sleep,10500250,30.002749579
sleep,10501611,30.001596362
sleep,10493814,30.002609824
sleep,10505520,30.001648273
sleep,10516299,30.002438978
sleep,10521428,30.001466411
sleep,10504289,30.002307410
sleep,10493050,30.001620181
sleep,10528873,30.002776761
sleep,10516053,30.001673099
sleep,10494761,30.001844866
sleep,10513218,30.001593105
sleep,10504505,30.002455819
sleep,10492199,30.001673857
sleep,10506970,30.002232790
sleep,10514276,30.001469967
sleep,10496746,30.002383727
sleep,10526030,30.001617834
sleep,10501412,30.002180617
sleep,10512141,30.001673876
sleep,10505497,30.002469222
sleep,10493824,30.001512990
sleep,10533515,30.003060943
sleep,10515153,30.001663265
sleep,10507054,30.002432270
sleep,10507871,30.001699001
sleep,10509790,30.001917686
sleep,10519464,30.001544891
sleep,10528656,30.002425787
sleep,10515482,30.001618002
sleep,10512574,30.002390229
sleep,10513269,30.001668515
sleep,10544050,30.002431362
sleep,10522618,30.001822999
sleep,10526270,30.002456514
sleep,10515332,30.001676296
sleep,10508932,30.002470789
sleep,10505286,30.001647555
sleep,10516799,30.002580870
sleep,10502698,30.001754466
sleep,10500099,30.002136705
sleep,10504534,30.001576837
sleep,10510755,30.001930848
sleep,10528153,30.001649402
sleep,10524282,30.002973142
sleep,10499365,30.001614156
sleep,10520400,30.002479286
sleep,10506998,30.001494708
