executable,cachemisses,runningtime
sleep,5194,30.002147225
sleep,1657,30.001241284
sleep,2167,30.002944532
sleep,1050,30.001249316
sleep,1004,30.002276046
sleep,857,30.001488608
sleep,766,30.002346973
sleep,776,30.001464782
sleep,612,30.002393979
sleep,619,30.001330741
sleep,18648,30.002275216
sleep,1269,30.001579541
sleep,872,30.002862413
sleep,1048,30.001449084
sleep,811,30.002759376
sleep,605,30.001470779
sleep,702,30.002435142
sleep,590,30.001503838
sleep,696,30.002749062
sleep,404,30.001473893
sleep,592,30.002954199
sleep,728,30.001527829
sleep,654,30.002345255
sleep,403,30.001217083
sleep,657,30.002147625
sleep,496,30.001513330
sleep,566,30.003027190
sleep,435,30.001745057
sleep,648,30.002047316
sleep,559,30.001724387
sleep,567,30.002183792
sleep,499,30.001686122
sleep,698,30.002542149
sleep,486,30.001666280
sleep,596,30.002809399
sleep,452,30.001449779
sleep,555,30.002542849
sleep,507,30.001647761
sleep,646,30.001801808
sleep,435,30.001475101
sleep,565,30.002852461
sleep,458,30.001610007
sleep,491,30.002893994
sleep,563,30.001661870
sleep,582,30.002001755
sleep,460,30.001668467
sleep,613,30.002272209
sleep,678,30.001698391
sleep,694,30.002201731
sleep,421,30.001413033
