executable,cachemisses,runningtime
./transcode,1335413211,44.564284642
./transcode,1334774645,44.685612158
./transcode,1334161439,44.857855676
./transcode,1337160132,44.824083370
./transcode,1335457916,44.938433877
./transcode,1333154691,44.954210937
./transcode,1333795716,44.933652302
./transcode,1331826355,45.010525776
./transcode,1337654907,44.956163595
./transcode,1337035404,44.956374363
./transcode,1334575763,45.051467886
./transcode,1334587344,45.012251346
./transcode,1331505978,45.021244837
./transcode,1337905705,44.973102795
./transcode,1337786528,44.953013369
./transcode,1335180313,45.011304496
./transcode,1335097349,44.947318348
./transcode,1334834126,44.987385537
./transcode,1336994006,45.039235593
./transcode,1336215004,45.068247148
./transcode,1334834708,45.031046763
./transcode,1333460352,45.081989190
./transcode,1336399039,45.075010943
./transcode,1336124478,45.015157638
./transcode,1336502355,44.935656169
./transcode,1337529329,44.980454966
./transcode,1335183922,45.058301069
./transcode,1336641984,45.005496150
./transcode,1336317325,45.022023824
./transcode,1335708609,44.984835440
./transcode,1337754107,44.997398566
./transcode,1336473576,44.997435119
./transcode,1334781034,45.032293089
./transcode,1334642250,45.016831120
./transcode,1334845965,45.014883811
./transcode,1335885868,45.055496104
./transcode,1337963610,44.996853542
./transcode,1334348794,45.044335090
./transcode,1336588177,45.005152049
./transcode,1334832449,45.029534945
./transcode,1333190669,45.034666063
./transcode,1337131872,45.006705477
./transcode,1334850884,45.095569721
./transcode,1339016566,44.980327556
./transcode,1336422595,44.908476808
./transcode,1334537288,45.040108953
./transcode,1336895402,44.914545609
./transcode,1336391375,44.865551726
./transcode,1336223925,44.914627858
./transcode,1335920704,44.823912110
