executable,cachemisses,runningtime
./transcode,1244640188,42.890175996
./transcode,1242409463,42.908620524
./transcode,1244534455,43.052688290
./transcode,1242530585,43.197795355
./transcode,1242376280,43.198560228
./transcode,1243312625,43.265284733
./transcode,1244738953,43.211952011
./transcode,1242228447,43.310122171
./transcode,1242978077,43.303978640
./transcode,1243151151,43.332524680
./transcode,1245247481,43.367855628
./transcode,1244495129,43.361667987
./transcode,1240494280,43.371422855
./transcode,1243871180,43.348365629
./transcode,1243343781,43.360159742
./transcode,1240221767,43.333753222
./transcode,1242180764,43.343315931
./transcode,1240993320,43.348300783
./transcode,1243684274,43.327458459
./transcode,1246201270,43.196122364
./transcode,1245958395,43.291000016
./transcode,1241681900,43.404561746
./transcode,1243454092,43.325555697
./transcode,1240763775,43.359947041
./transcode,1242814662,43.431698569
./transcode,1243876991,43.309250864
./transcode,1243333833,43.340625113
./transcode,1240065413,43.366523168
./transcode,1240834426,43.433619228
./transcode,1243123186,43.381339960
./transcode,1242980160,43.244567501
./transcode,1241996250,43.331982816
./transcode,1242410407,43.188046087
./transcode,1241327135,43.227342165
./transcode,1245748555,43.136903792
./transcode,1247827767,43.220465953
./transcode,1243207515,43.320048946
./transcode,1242640242,43.308044165
./transcode,1241514919,43.402179312
./transcode,1244612764,43.346332720
./transcode,1244846710,43.289946382
./transcode,1240354615,43.309371943
./transcode,1241595597,43.381795398
./transcode,1244560565,43.388399027
./transcode,1242228712,43.325195223
./transcode,1245260150,43.341422874
./transcode,1243228293,43.376659395
./transcode,1242064339,43.340171877
./transcode,1243712951,43.335367450
./transcode,1244471178,43.397847014
