date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379568135403,eth0,776525,782016,209015664,219597270
1379568135403,eth7,9315479086,61051,2033612026520,13505740
1379568135403,lo,0,0,0,0
1379568145412,eth0,776547,782038,209019212,219603254
1379568145412,eth7,9316301273,61063,2034845304148,13511808
1379568145412,lo,0,0,0,0
1379568155423,eth0,776598,782091,209027542,219617644
1379568155423,eth7,9317123519,61073,2036078673148,13517748
1379568155423,lo,0,0,0,0
1379568165431,eth0,776631,782129,209032806,219632982
1379568165431,eth7,9317945794,61084,2037312084212,13523752
1379568165431,lo,0,0,0,0
1379568175440,eth0,776658,782160,209037106,219647030
1379568175440,eth7,9318767919,61094,2038545271712,13529692
1379568175440,lo,0,0,0,0
1379568185447,eth0,776684,782188,209041294,219656470
1379568185447,eth7,9319590166,61106,2039778639340,13535760
1379568185447,lo,0,0,0,0
1379568195455,eth0,776706,782215,209044842,219669168
1379568195455,eth7,9320411942,61116,2041011303340,13541700
1379568195455,lo,0,0,0,0
1379568205466,eth0,776731,782244,209048810,219681896
1379568205466,eth7,9321234190,61127,2042244673904,13547704
1379568205466,lo,0,0,0,0
1379568215477,eth0,776782,782297,209057140,219694282
1379568215477,eth7,9322056396,61137,2043477982904,13553644
1379568215477,lo,0,0,0,0
1379568225485,eth0,776815,782335,209062404,219707616
1379568225485,eth7,9322878632,61149,2044711334032,13559712
1379568225485,lo,0,0,0,0
1379568235492,eth0,776842,782366,209066704,219719660
1379568235492,eth7,9323700917,61159,2045944761532,13565652
1379568235492,lo,0,0,0,0
1379568245500,eth0,776868,782394,209070892,219727096
1379568245500,eth7,9324522817,61170,2047177610096,13571656
1379568245500,lo,0,0,0,0
1379568255508,eth0,776890,782419,209074440,219737714
1379568255508,eth7,9325345063,61180,2048410979096,13577596
1379568255508,lo,0,0,0,0
1379568265518,eth0,776913,782447,209078052,219752232
1379568265518,eth7,9326167450,61191,2049644558160,13583600
1379568265518,lo,0,0,0,0
1379568275528,eth0,776967,782505,209086802,219771286
1379568275528,eth7,9326989505,61202,2050877639224,13589604
1379568275528,lo,0,0,0,0
1379568285536,eth0,776999,782539,209092002,219782438
1379568285536,eth7,9327811711,61213,2052110946788,13595608
1379568285536,lo,0,0,0,0
1379568295544,eth0,777023,782568,209095882,219796208
1379568295544,eth7,9328633787,61223,2053344060788,13601548
1379568295544,lo,0,0,0,0
1379568305552,eth0,777052,782601,209100490,219810312
1379568305552,eth7,9329455737,61234,2054576982852,13607552
1379568305552,lo,0,0,0,0
1379568315560,eth0,777075,782626,209104102,219818952
1379568315560,eth7,9330278033,61245,2055810426916,13613556
1379568315560,lo,0,0,0,0
1379568325570,eth0,777097,782653,209107650,219831402
1379568325570,eth7,9331100208,61256,2057043687980,13619560
1379568325570,lo,0,0,0,0
1379568335582,eth0,777151,782711,209116400,219848452
1379568335582,eth7,9331922374,61266,2058276936980,13625500
1379568335582,lo,0,0,0,0
1379568345590,eth0,777183,782745,209121600,219857600
1379568345590,eth7,9332744608,61276,2059510287980,13631440
1379568345590,lo,0,0,0,0
1379568355598,eth0,777207,782772,209125362,219866168
1379568355598,eth7,9333566914,61288,2060743744108,13637508
1379568355598,lo,0,0,0,0
1379568365606,eth0,777236,782807,209130088,219881466
1379568365606,eth7,9334388732,61298,2061976471108,13643448
1379568365606,lo,0,0,0,0
1379568375613,eth0,777259,782832,209133700,219888102
1379568375613,eth7,9335210938,61309,2063209778672,13649452
1379568375613,lo,0,0,0,0
1379568385622,eth0,777281,782857,209137248,219898472
1379568385622,eth7,9336033223,61319,2064443206172,13655392
1379568385622,lo,0,0,0,0
1379568395634,eth0,777332,782913,209145578,219917248
1379568395634,eth7,9336855370,61331,2065676423800,13661460
1379568395634,lo,0,0,0,0
1379568405642,eth0,777367,782952,209151198,219933064
1379568405642,eth7,9337677483,61341,2066909593300,13667400
1379568405642,lo,0,0,0,0
1379568415650,eth0,777392,782979,209155142,219942776
