date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379526732629,eth0,7655828,20601124,1712895096,28664490492
1379526732629,eth8,46002,6942653525,9607268,1331179491524
1379526732629,eth11,24853793291,44320,2678917628022,159607676
1379526732629,lo,0,0,0,0
1379526742643,eth0,7657295,20605424,1713161138,28670650052
1379526742643,eth8,46012,6942683526,9608188,1331181411588
1379526742643,eth11,24853823292,44330,2678919548086,159608596
1379526742643,lo,0,0,0,0
1379526752653,eth0,7658744,20609644,1713423752,28676687412
1379526752653,eth8,46023,6942713528,9609172,1331183331716
1379526752653,eth11,24853853293,44340,2678921468150,159609516
1379526752653,lo,0,0,0,0
1379526762676,eth0,7660291,20614176,1713704164,28683178274
1379526762676,eth8,46033,6942743529,9610092,1331185251780
1379526762676,eth11,24853883283,44351,2678923387510,159610500
1379526762676,lo,0,0,0,0
1379526772694,eth0,7661854,20618712,1713987278,28689653362
1379526772694,eth8,46044,6942773531,9611076,1331187171908
1379526772694,eth11,24853916283,44362,2678925499510,159611512
1379526772694,lo,0,0,0,0
1379526782716,eth0,7663280,20622877,1714245684,28695611932
1379526782716,eth8,46055,6942803534,9612060,1331189092100
1379526782716,eth11,24853946285,44372,2678927419638,159612432
1379526782716,lo,0,0,0,0
1379526792731,eth0,7664810,20627357,1714523058,28702031542
1379526792731,eth8,46066,6942833523,9613044,1331191011396
1379526792731,eth11,24853976287,44383,2678929339766,159613416
1379526792731,lo,0,0,0,0
1379526802743,eth0,7666328,20631805,1714798382,28708409838
1379526802743,eth8,46076,6942863525,9613964,1331192931524
1379526802743,eth11,24854006288,44393,2678931259830,159614336
1379526802743,lo,0,0,0,0
1379526812765,eth0,7667788,20636068,1715062990,28714509460
1379526812765,eth8,46087,6942893527,9614948,1331194851652
1379526812765,eth11,24854036289,44403,2678933179894,159615256
1379526812765,lo,0,0,0,0
1379526822782,eth0,7669336,20640608,1715343592,28721015618
1379526822782,eth8,46098,6942923529,9615932,1331196771780
1379526822782,eth11,24854066279,44414,2678935099254,159616240
1379526822782,lo,0,0,0,0
1379526832796,eth0,7670970,20645094,1715638254,28727244002
1379526832796,eth8,46110,6942956530,9617008,1331198883844
1379526832796,eth11,24854096280,44424,2678937019318,159617160
1379526832796,lo,0,0,0,0
1379526842816,eth0,7672391,20649245,1715895876,28733187912
1379526842816,eth8,46120,6942986531,9617928,1331200803908
1379526842816,eth11,24854126281,44434,2678938939382,159618080
1379526842816,lo,0,0,0,0
1379526852833,eth0,7673911,20653702,1716171486,28739580108
1379526852833,eth8,46131,6943016521,9618912,1331202723268
1379526852833,eth11,24854156283,44445,2678940859510,159619064
1379526852833,lo,0,0,0,0
1379526862852,eth0,7675426,20658136,1716446256,28745936638
1379526862852,eth8,46142,6943046523,9619896,1331204643396
1379526862852,eth11,24854186285,44455,2678942779638,159619984
1379526862852,lo,0,0,0,0
1379526872872,eth0,7676918,20662486,1716716688,28752158342
1379526872872,eth8,46152,6943076524,9620816,1331206563460
1379526872872,eth11,24854216273,44465,2678944698870,159620904
1379526872872,lo,0,0,0,0
1379526882888,eth0,7678442,20666944,1716992804,28758539606
1379526882888,eth8,46163,6943106526,9621800,1331208483588
1379526882888,eth11,24854246276,44476,2678946619062,159621888
1379526882888,lo,0,0,0,0
1379526892908,eth0,7679964,20671352,1717268432,28764827496
1379526892908,eth8,46173,6943136528,9622720,1331210403716
1379526892908,eth11,24854276277,44486,2678948539126,159622808
1379526892908,lo,0,0,0,0
1379526902919,eth0,7681410,20675579,1717530588,28770881142
