date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379552778096,eth0,674152,674340,187394596,187356886
1379552778096,eth7,7481254234,50808,1365649936900,10040432
1379552778096,lo,0,0,0,0
1379552788104,eth0,674184,674372,187399796,187364446
1379552788104,eth7,7481254234,50808,1365649936900,10040432
1379552788104,lo,0,0,0,0
1379552798111,eth0,674207,674397,187403510,187374428
1379552798111,eth7,7481254234,50808,1365649936900,10040432
1379552798111,lo,0,0,0,0
1379552808119,eth0,674229,674424,187407058,187388126
1379552808119,eth7,7481254234,50808,1365649936900,10040432
1379552808119,lo,0,0,0,0
1379552818129,eth0,674270,674469,187413674,187404382
1379552818129,eth7,7481254234,50808,1365649936900,10040432
1379552818129,lo,0,0,0,0
1379552828139,eth0,674298,674499,187418092,187414044
1379552828139,eth7,7481254234,50808,1365649936900,10040432
1379552828139,lo,0,0,0,0
1379552838148,eth0,674333,674539,187423774,187428784
1379552838148,eth7,7481254234,50808,1365649936900,10040432
1379552838148,lo,0,0,0,0
1379552848156,eth0,674367,674577,187429330,187443024
1379552848156,eth7,7481254234,50808,1365649936900,10040432
1379552848156,lo,0,0,0,0
1379552858164,eth0,674390,674602,187433044,187451002
1379552858164,eth7,7481254234,50808,1365649936900,10040432
1379552858164,lo,0,0,0,0
1379552868172,eth0,674412,674629,187436592,187462696
1379552868172,eth7,7481254234,50808,1365649936900,10040432
1379552868172,lo,0,0,0,0
1379552878182,eth0,674453,674674,187443208,187476948
1379552878182,eth7,7481254234,50808,1365649936900,10040432
1379552878182,lo,0,0,0,0
1379552888192,eth0,674480,674703,187447562,187484542
1379552888192,eth7,7481254234,50808,1365649936900,10040432
1379552888192,lo,0,0,0,0
1379552898201,eth0,674516,674742,187453308,187497266
1379552898201,eth7,7481254234,50808,1365649936900,10040432
1379552898201,lo,0,0,0,0
1379552908209,eth0,674548,674779,187458508,187513296
1379552908209,eth7,7481254234,50808,1365649936900,10040432
1379552908209,lo,0,0,0,0
1379552918216,eth0,674573,674808,187462578,187527878
1379552918216,eth7,7481254234,50808,1365649936900,10040432
1379552918216,lo,0,0,0,0
1379552928224,eth0,674596,674833,187466190,187537518
1379552928224,eth7,7481254234,50808,1365649936900,10040432
1379552928224,lo,0,0,0,0
1379552938234,eth0,674634,674876,187472386,187553496
1379552938234,eth7,7481254234,50808,1365649936900,10040432
1379552938234,lo,0,0,0,0
1379552948244,eth0,674664,674910,187477160,187567758
1379552948244,eth7,7481254234,50808,1365649936900,10040432
1379552948244,lo,0,0,0,0
1379552958254,eth0,674699,674947,187482842,187578376
1379552958254,eth7,7481254234,50808,1365649936900,10040432
1379552958254,lo,0,0,0,0
1379552968261,eth0,674731,674984,187488042,187592402
1379552968261,eth7,7481254234,50808,1365649936900,10040432
1379552968261,lo,0,0,0,0
1379552978269,eth0,674757,675014,187492176,187605044
1379552978269,eth7,7481254234,50808,1365649936900,10040432
1379552978269,lo,0,0,0,0
1379552988277,eth0,674780,675039,187495788,187612680
1379552988277,eth7,7481254234,50808,1365649936900,10040432
1379552988277,lo,0,0,0,0
1379552998287,eth0,674818,675082,187501984,187626654
1379552998287,eth7,7481254234,50808,1365649936900,10040432
1379552998287,lo,0,0,0,0
1379553008297,eth0,674847,675115,187506694,187638848
1379553008297,eth7,7481254234,50808,1365649936900,10040432
1379553008297,lo,0,0,0,0
1379553018306,eth0,674883,675153,187512440,187647526
