date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379500652895,eth0,593101,569691,188495349,135886070
1379500652895,eth2,27620,19574142213,158085920,2341019959030
1379500652895,lo,2,2,168,168
1379500662902,eth0,593124,569714,188499063,135892224
1379500662902,eth2,27620,19575142181,158085920,2341083956982
1379500662902,lo,2,2,168,168
1379500672908,eth0,593147,569739,188502777,135902230
1379500672908,eth2,27620,19576142150,158085920,2341147954934
1379500672908,lo,2,2,168,168
1379500682916,eth0,593174,569771,188507029,135916656
1379500682916,eth2,27620,19577142118,158085920,2341211952950
1379500682916,lo,2,2,168,168
1379500692924,eth0,593213,569814,188513297,135932640
1379500692924,eth2,27620,19578142086,158085920,2341275950902
1379500692924,lo,2,2,168,168
1379500702931,eth0,593260,569863,188520979,135945474
1379500702931,eth2,27620,19579142055,158085920,2341339948918
1379500702931,lo,2,2,168,168
1379500712937,eth0,593283,569891,188524591,135958320
1379500712937,eth2,27620,19580142023,158085920,2341403946870
1379500712937,lo,2,2,168,168
1379500722943,eth0,593309,569921,188528725,135971310
1379500722943,eth2,27620,19581141991,158085920,2341467944822
1379500722943,lo,2,2,168,168
1379500732949,eth0,593332,569946,188532439,135979400
1379500732949,eth2,27620,19582141960,158085920,2341531942838
1379500732949,lo,2,2,168,168
1379500742956,eth0,593359,569978,188536691,135991910
1379500742956,eth2,27620,19583141928,158085920,2341595940790
1379500742956,lo,2,2,168,168
1379500752964,eth0,593398,570021,188542959,136005982
1379500752964,eth2,27620,19584141896,158085920,2341659938742
1379500752964,lo,2,2,168,168
1379500762972,eth0,593445,570070,188550641,136016904
1379500762972,eth2,27620,19585141865,158085920,2341723936758
1379500762972,lo,2,2,168,168
1379500772978,eth0,593470,570096,188554992,136027758
1379500772978,eth2,27620,19586141833,158085920,2341787934710
1379500772978,lo,2,2,168,168
1379500782985,eth0,593497,570126,188559585,136042666
1379500782985,eth2,27620,19587141801,158085920,2341851932662
1379500782985,lo,2,2,168,168
1379500792990,eth0,593527,570154,188565291,136053434
1379500792990,eth2,27620,19588141770,158085920,2341915930678
1379500792990,lo,2,2,168,168
1379500802998,eth0,593581,570183,188577453,136063918
1379500802998,eth2,27620,19589141738,158085920,2341979928630
1379500802998,lo,2,2,168,168
