date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379538281076,eth0,849237,837442,230438978,204146266
1379538281076,eth2,48950,29406026977,160029576,3464583646798
1379538281076,lo,2,2,168,168
1379538291084,eth0,849272,837477,230444644,204153028
1379538291084,eth2,48950,29407224207,160029576,3465809610318
1379538291084,lo,2,2,168,168
1379538301091,eth0,849306,837512,230450192,204163554
1379538301091,eth2,48950,29408421795,160029576,3467035940430
1379538301091,lo,2,2,168,168
1379538311099,eth0,849333,837543,230454546,204176776
1379538311099,eth2,48950,29409619025,160029576,3468261903950
1379538311099,lo,2,2,168,168
1379538321108,eth0,849374,837590,230461178,204196956
1379538321108,eth2,48950,29410816255,160029576,3469487867470
1379538321108,lo,2,2,168,168
1379538331114,eth0,849396,837613,230464608,204203500
1379538331114,eth2,48950,29412013485,160029576,3470713830990
1379538331114,lo,2,2,168,168
1379538341123,eth0,849418,837639,230468156,204214984
1379538341123,eth2,48950,29413210715,160029576,3471939794510
1379538341123,lo,2,2,168,168
1379538351131,eth0,849457,837684,230474424,204232928
1379538351131,eth2,48950,29414407945,160029576,3473165758030
1379538351131,lo,2,2,168,168
1379538361139,eth0,849490,837718,230479790,204241300
1379538361139,eth2,48950,29415605175,160029576,3474391721550
1379538361139,lo,2,2,168,168
1379538371146,eth0,849517,837749,230484144,204252606
1379538371146,eth2,48950,29416802405,160029576,3475617685070
1379538371146,lo,2,2,168,168
1379538381155,eth0,849557,837795,230490594,204269756
1379538381155,eth2,48950,29417999635,160029576,3476843647566
1379538381155,lo,2,2,168,168
1379538391162,eth0,849580,837819,230494206,204275502
1379538391162,eth2,48950,29419196864,160029576,3478069611086
1379538391162,lo,2,2,168,168
1379538401171,eth0,849602,837844,230497754,204285036
1379538401171,eth2,48950,29420394094,160029576,3479295574606
1379538401171,lo,2,2,168,168
1379538411179,eth0,849639,837886,230503666,204300688
1379538411179,eth2,48950,29421591324,160029576,3480521538126
1379538411179,lo,2,2,168,168
1379538421186,eth0,849675,837926,230509546,204315944
1379538421186,eth2,48950,29422788554,160029576,3481747501646
1379538421186,lo,2,2,168,168
1379538431194,eth0,849702,837954,230513900,204325224
1379538431194,eth2,48950,29423985784,160029576,3482973465166
1379538431194,lo,2,2,168,168
1379538441202,eth0,849740,837996,230519994,204340046
1379538441202,eth2,48950,29425183014,160029576,3484199428686
1379538441202,lo,2,2,168,168
1379538451209,eth0,849765,838027,230523962,204356694
1379538451209,eth2,48950,29426380244,160029576,3485425392206
1379538451209,lo,2,2,168,168
1379538461217,eth0,849787,838050,230527510,204364236
1379538461217,eth2,48950,29427577474,160029576,3486651355726
1379538461217,lo,2,2,168,168
1379538471226,eth0,849824,838091,230533422,204377936
1379538471226,eth2,48950,29428774704,160029576,3487877318222
1379538471226,lo,2,2,168,168
1379538481233,eth0,849859,838132,230539144,204395298
1379538481233,eth2,48950,29429971933,160029576,3489103281742
1379538481233,lo,2,2,168,168
1379538491240,eth0,849886,838160,230543498,204402662
1379538491240,eth2,48950,29431169163,160029576,3490329245262
1379538491240,lo,2,2,168,168
1379538501249,eth0,849924,838202,230549592,204415568
1379538501249,eth2,48950,29432366393,160029576,3491555208782
1379538501249,lo,2,2,168,168
1379538511255,eth0,849949,838233,230553560,204430304
1379538511255,eth2,48950,29433563623,160029576,3492781172302
1379538511255,lo,2,2,168,168
1379538521265,eth0,849971,838256,230557108,204435934
1379538521265,eth2,48950,29434760853,160029576,3494007135822
1379538521265,lo,2,2,168,168
1379538531273,eth0,850008,838296,230563020,204447680
1379538531273,eth2,48950,29435958083,160029576,3495233099342
1379538531273,lo,2,2,168,168
1379538541280,eth0,850041,838334,230568386,204462766
1379538541280,eth2,48950,29437155313,160029576,3496459062862
1379538541280,lo,2,2,168,168
1379538551287,eth0,850070,838369,230573096,204481036
1379538551287,eth2,48950,29438352543,160029576,3497685026382
1379538551287,lo,2,2,168,168
1379538561296,eth0,850108,838408,230579190,204491916
1379538561296,eth2,48950,29439549772,160029576,3498910988878
1379538561296,lo,2,2,168,168
1379538571303,eth0,850131,838435,230582802,204504320
1379538571303,eth2,48950,29440747002,160029576,3500136952398
1379538571303,lo,2,2,168,168
1379538581312,eth0,850155,838465,230586706,204520852
1379538581312,eth2,48950,29441944232,160029576,3501362915918
1379538581312,lo,2,2,168,168
1379538591319,eth0,850192,838503,230592618,204530610
1379538591319,eth2,48950,29443141462,160029576,3502588879438
1379538591319,lo,2,2,168,168
1379538601326,eth0,850226,838541,230598048,204543792
1379538601326,eth2,48950,29444338692,160029576,3503814842958
1379538601326,lo,2,2,168,168
1379538611333,eth0,850255,838576,230602758,204560146
1379538611333,eth2,48950,29445536280,160029576,3505041173070
1379538611333,lo,2,2,168,168
1379538621342,eth0,850293,838615,230608852,204569110
1379538621342,eth2,48950,29446733510,160029576,3506267136590
1379538621342,lo,2,2,168,168
1379538631349,eth0,850316,838642,230612464,204579602
1379538631349,eth2,48950,29447930740,160029576,3507493100110
1379538631349,lo,2,2,168,168
1379538641357,eth0,850340,838672,230616368,204594222
1379538641357,eth2,48950,29449127970,160029576,3508719063630
1379538641357,lo,2,2,168,168
1379538651366,eth0,850377,838710,230622280,204602064
1379538651366,eth2,48950,29450325200,160029576,3509945027150
1379538651366,lo,2,2,168,168
1379538661372,eth0,850411,838747,230627710,204613292
1379538661372,eth2,48950,29451522430,160029576,3511170989646
1379538661372,lo,2,2,168,168
1379538671379,eth0,850438,838778,230632064,204627318
1379538671379,eth2,48950,29452719659,160029576,3512396953166
1379538671379,lo,2,2,168,168
1379538681387,eth0,850478,838824,230638514,204647188
1379538681387,eth2,48950,29453916889,160029576,3513622916686
1379538681387,lo,2,2,168,168
1379538691393,eth0,850501,838848,230642126,204655650
1379538691393,eth2,48950,29455114119,160029576,3514848880206
1379538691393,lo,2,2,168,168
1379538701402,eth0,850523,838874,230645674,204667938
1379538701402,eth2,48950,29456311349,160029576,3516074843726
1379538701402,lo,2,2,168,168
1379538711410,eth0,850562,838919,230651942,204686686
1379538711410,eth2,48950,29457508579,160029576,3517300807246
1379538711410,lo,2,2,168,168
1379538721416,eth0,850596,838954,230657372,204695926
1379538721416,eth2,48950,29458705809,160029576,3518526770766
1379538721416,lo,2,2,168,168
1379538731423,eth0,850623,838985,230661726,204708036
1379538731423,eth2,48950,29459903039,160029576,3519752734286
1379538731423,lo,2,2,168,168
1379538741432,eth0,850663,839031,230668176,204725990
1379538741432,eth2,48950,29461100269,160029576,3520978697806
1379538741432,lo,2,2,168,168
1379538751439,eth0,850686,839055,230671788,204732540
1379538751439,eth2,48950,29462297499,160029576,3522204660302
1379538751439,lo,2,2,168,168
1379538761448,eth0,850708,839081,230675336,204742916
1379538761448,eth2,48950,29463494728,160029576,3523430623822
1379538761448,lo,2,2,168,168
1379538771456,eth0,850747,839126,230681604,204759748
1379538771456,eth2,48950,29464691958,160029576,3524656587342
1379538771456,lo,2,2,168,168
1379538781463,eth0,850781,839161,230687034,204767072
1379538781463,eth2,48950,29465889188,160029576,3525882550862
1379538781463,lo,2,2,168,168
1379538791471,eth0,850808,839191,230691388,204777232
1379538791471,eth2,48950,29467086418,160029576,3527108514382
1379538791471,lo,2,2,168,168
1379538801479,eth0,850846,839233,230697482,204792858
1379538801479,eth2,48950,29468283648,160029576,3528334477902
1379538801479,lo,2,2,168,168
1379538811486,eth0,850871,839264,230701450,204810310
1379538811486,eth2,48950,29469480878,160029576,3529560441422
1379538811486,lo,2,2,168,168
1379538821495,eth0,850893,839287,230704998,204818656
1379538821495,eth2,48950,29470678108,160029576,3530786404942
1379538821495,lo,2,2,168,168
1379538831503,eth0,850930,839328,230710910,204833160
1379538831503,eth2,48950,29471875338,160029576,3532012368462
1379538831503,lo,2,2,168,168
1379538841510,eth0,850966,839370,230716696,204851390
1379538841510,eth2,48950,29473072568,160029576,3533238330958
1379538841510,lo,2,2,168,168
1379538851517,eth0,850993,839398,230721050,204859558
1379538851517,eth2,48950,29474269797,160029576,3534464294478
1379538851517,lo,2,2,168,168
1379538861525,eth0,851031,839440,230727144,204873268
1379538861525,eth2,48950,29475467027,160029576,3535690257998
1379538861525,lo,2,2,168,168
1379538871533,eth0,851056,839471,230731112,204888808
1379538871533,eth2,48950,29476664257,160029576,3536916221518
1379538871533,lo,2,2,168,168
1379538881541,eth0,851078,839494,230734660,204895242
1379538881541,eth2,48950,29477861487,160029576,3538142185038
1379538881541,lo,2,2,168,168
1379538891550,eth0,851114,839534,230740508,204907766
1379538891550,eth2,48950,29479058717,160029576,3539368148558
1379538891550,lo,2,2,168,168
1379538901557,eth0,851150,839576,230746294,204924080
1379538901557,eth2,48950,29480255947,160029576,3540594112078
1379538901557,lo,2,2,168,168
1379538911564,eth0,851178,839605,230750712,204930400
1379538911564,eth2,48950,29481453177,160029576,3541820075598
1379538911564,lo,2,2,168,168
1379538921573,eth0,851215,839645,230756742,204942096
1379538921573,eth2,48950,29482650765,160029576,3543046405710
1379538921573,lo,2,2,168,168
1379538931579,eth0,851237,839671,230760290,204955240
1379538931579,eth2,48950,29483847995,160029576,3544272369230
1379538931579,lo,2,2,168,168
1379538941588,eth0,851262,839702,230764258,204972640
1379538941588,eth2,48950,29485164876,160029576,3545620855374
1379538941588,lo,2,2,168,168
1379538951596,eth0,851299,839740,230770170,204983202
1379538951596,eth2,48950,29486362106,160029576,3546846818894
