date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379481128103,eth0,3441683,8789345,953282523,12083266546
1379481128103,eth8,28665,5012003954,8044744,1207617918980
1379481128103,eth11,14864125204,27620,2039578870454,158085920
1379481128103,lo,0,0,0,0
1379481138116,eth0,3443138,8793598,953546317,12089357628
1379481138116,eth8,28665,5012003954,8044744,1207617918980
1379481138116,eth11,14865125241,27620,2039642872822,158085920
1379481138116,lo,0,0,0,0
1379481148126,eth0,3444516,8797627,953796091,12095130648
1379481148126,eth8,28665,5012003954,8044744,1207617918980
1379481148126,eth11,14866125279,27620,2039706875254,158085920
1379481148126,lo,0,0,0,0
1379481158146,eth0,3446012,8801978,954067045,12101344316
1379481158146,eth8,28665,5012003954,8044744,1207617918980
1379481158146,eth11,14867125316,27620,2039770877622,158085920
1379481158146,lo,0,0,0,0
1379481168164,eth0,3447522,8806381,954340697,12107643230
1379481168164,eth8,28665,5012003954,8044744,1207617918980
1379481168164,eth11,14868124946,27620,2039834853878,158085920
1379481168164,lo,0,0,0,0
1379481178183,eth0,3448884,8810359,954587605,12113343166
1379481178183,eth8,28665,5012003954,8044744,1207617918980
1379481178183,eth11,14869124983,27620,2039898856310,158085920
1379481178183,lo,0,0,0,0
1379481188204,eth0,3450386,8814740,954859613,12119606962
1379481188204,eth8,28665,5012003954,8044744,1207617918980
1379481188204,eth11,14870125020,27620,2039962858678,158085920
1379481188204,lo,0,0,0,0
1379481198219,eth0,3451767,8818777,955109963,12125384470
1379481198219,eth8,28665,5012003954,8044744,1207617918980
1379481198219,eth11,14871125058,27620,2040026861110,158085920
1379481198219,lo,0,0,0,0
1379481208230,eth0,3453241,8823098,955377271,12131577538
1379481208230,eth8,28665,5012003954,8044744,1207617918980
1379481208230,eth11,14872125095,27620,2040090863478,158085920
1379481208230,lo,0,0,0,0
1379481218249,eth0,3454676,8827267,955637155,12137530202
1379481218249,eth8,28665,5012003954,8044744,1207617918980
1379481218249,eth11,14873125133,27620,2040154865910,158085920
1379481218249,lo,0,0,0,0
1379481228270,eth0,3456194,8831688,955912137,12143849728
1379481228270,eth8,28665,5012003954,8044744,1207617918980
1379481228270,eth11,14874124762,27620,2040218842166,158085920
1379481228270,lo,0,0,0,0
1379481238286,eth0,3457658,8835704,956176321,12149429206
1379481238286,eth8,28665,5012003954,8044744,1207617918980
1379481238286,eth11,14875124800,27620,2040282844598,158085920
1379481238286,lo,0,0,0,0
1379481248307,eth0,3459084,8839869,956434695,12155390168
1379481248307,eth8,28665,5012003954,8044744,1207617918980
1379481248307,eth11,14876124837,27620,2040346846966,158085920
1379481248307,lo,0,0,0,0
1379481258323,eth0,3460488,8843978,956689247,12161276492
1379481258323,eth8,28665,5012003954,8044744,1207617918980
1379481258323,eth11,14877124874,27620,2040410849334,158085920
1379481258323,lo,0,0,0,0
1379481268341,eth0,3461962,8848291,956956437,12167453122
1379481268341,eth8,28665,5012003954,8044744,1207617918980
1379481268341,eth11,14878124912,27620,2040474851766,158085920
1379481268341,lo,0,0,0,0
1379481278357,eth0,3463588,8852993,957250635,12174146050
1379481278357,eth8,28665,5012003954,8044744,1207617918980
1379481278357,eth11,14879224912,27620,2040545251766,158085920
1379481278357,lo,0,0,0,0
1379481288369,eth0,3465023,8857211,957511037,12180202812
1379481288369,eth8,28665,5012003954,8044744,1207617918980
1379481288369,eth11,14880224542,27620,2040609228086,158085920
1379481288369,lo,0,0,0,0
1379481298387,eth0,3466424,8861307,957764893,12186065206
1379481298387,eth8,28665,5012003954,8044744,1207617918980
1379481298387,eth11,14881224579,27620,2040673230454,158085920
1379481298387,lo,0,0,0,0
1379481308399,eth0,3467861,8865501,958025221,12192062162
1379481308399,eth8,28665,5012003954,8044744,1207617918980
1379481308399,eth11,14882224617,27620,2040737232886,158085920
1379481308399,lo,0,0,0,0
1379481318410,eth0,3469313,8869744,958288469,12198138180
1379481318410,eth8,28665,5012003954,8044744,1207617918980
1379481318410,eth11,14883224654,27620,2040801235254,158085920
1379481318410,lo,0,0,0,0
1379481328427,eth0,3470788,8874053,958555951,12204312794
1379481328427,eth8,28665,5012003954,8044744,1207617918980
1379481328427,eth11,14884224692,27620,2040865237622,158085920
1379481328427,lo,0,0,0,0
1379481338451,eth0,3472238,8878265,958818573,12210336888
1379481338451,eth8,28665,5012003954,8044744,1207617918980
1379481338451,eth11,14885224321,27620,2040929213942,158085920
1379481338451,lo,0,0,0,0
1379481348462,eth0,3473726,8882331,959086823,12215977106
1379481348462,eth8,28665,5012003954,8044744,1207617918980
1379481348462,eth11,14886224358,27620,2040993216310,158085920
1379481348462,lo,0,0,0,0
1379481358488,eth0,3475174,8886572,959349367,12222050012
1379481358488,eth8,28665,5012003954,8044744,1207617918980
1379481358488,eth11,14887224396,27620,2041057218742,158085920
1379481358488,lo,0,0,0,0
1379481368505,eth0,3476546,8890575,959597889,12227776316
1379481368505,eth8,28665,5012003954,8044744,1207617918980
1379481368505,eth11,14888224433,27620,2041121221110,158085920
1379481368505,lo,0,0,0,0
1379481378527,eth0,3478023,8894887,959865553,12233947362
1379481378527,eth8,28665,5012003954,8044744,1207617918980
1379481378527,eth11,14889224471,27620,2041185223542,158085920
1379481378527,lo,0,0,0,0
1379481388554,eth0,3479503,8899228,960133961,12240168670
1379481388554,eth8,28665,5012003954,8044744,1207617918980
1379481388554,eth11,14890224508,27620,2041249225910,158085920
1379481388554,lo,0,0,0,0
1379481398569,eth0,3480889,8903262,960384951,12245927444
1379481398569,eth8,28665,5012003954,8044744,1207617918980
1379481398569,eth11,14891224138,27620,2041313202230,158085920
1379481398569,lo,0,0,0,0
1379481408583,eth0,3482359,8907539,960651291,12252035226
1379481408583,eth8,28665,5012003954,8044744,1207617918980
1379481408583,eth11,14892224175,27620,2041377204598,158085920
1379481408583,lo,0,0,0,0
1379481418594,eth0,3483799,8911757,960912261,12258078552
1379481418594,eth8,28665,5012003954,8044744,1207617918980
1379481418594,eth11,14893224213,27620,2041441207030,158085920
1379481418594,lo,0,0,0,0
1379481428606,eth0,3485292,8915941,961180957,12263950222
1379481428606,eth8,28665,5012003954,8044744,1207617918980
1379481428606,eth11,14894224250,27620,2041505209398,158085920
1379481428606,lo,0,0,0,0
1379481438618,eth0,3486786,8920303,961451841,12270192286
1379481438618,eth8,28665,5012003954,8044744,1207617918980
1379481438618,eth11,14895224288,27620,2041569211830,158085920
1379481438618,lo,0,0,0,0
1379481448632,eth0,3488209,8924470,961709891,12276166680
1379481448632,eth8,28665,5012003954,8044744,1207617918980
1379481448632,eth11,14896224325,27620,2041633214198,158085920
1379481448632,lo,0,0,0,0
1379481458655,eth0,3489801,8928845,961996951,12282250278
1379481458655,eth8,28665,5012003954,8044744,1207617918980
1379481458655,eth11,14897223955,27620,2041697190518,158085920
1379481458655,lo,0,0,0,0
1379481468674,eth0,3491134,8932718,962238405,12287780904
1379481468674,eth8,28665,5012003954,8044744,1207617918980
1379481468674,eth11,14898223992,27620,2041761192886,158085920
1379481468674,lo,0,0,0,0
1379481478695,eth0,3492612,8937040,962506433,12293973434
1379481478695,eth8,28665,5012003954,8044744,1207617918980
1379481478695,eth11,14899224030,27620,2041825195254,158085920
1379481478695,lo,0,0,0,0
1379481488720,eth0,3494035,8941187,962764229,12299900722
1379481488720,eth8,28665,5012003954,8044744,1207617918980
1379481488720,eth11,14900224067,27620,2041889197686,158085920
1379481488720,lo,0,0,0,0
