iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
eth0,150.144753918339,434.66107617051,27183.388239992,619244.883697714
eth0,152.447552447552,446.253746253746,27634.5654345654,639301.698301698
eth0,147.393648891552,431.495905731975,26732.1749550629,618425.204713401
eth0,154.552715654952,450.77875399361,28004.9920127796,645069.888178914
eth0,149.83030545019,438.909962068277,27163.1064084648,629323.01856658
eth0,144.852354349561,423.782920989625,26269.7525937749,607173.982442139
eth0,154.874762997705,448.857399461132,28020.7564115358,639622.792136513
eth0,145.86661341853,427.016773162939,26450.2795527157,611888.178913738
eth0,155.220602914753,453.883010580954,28140.946296666,650564.983030545
eth0,161.142172523962,443.989616613418,29074.0814696486,618073.083067093
eth0,144.425591376385,423.195927737299,26194.4305818944,606751.971254616
eth0,153.293413173653,449.101796407186,27792.6147704591,644184.231536926
eth0,146.292785151183,422.911885041413,26472.2083624389,602162.259255563
eth0,154.936607766796,453.329340121793,28086.8523510033,649636.018768094
eth0,152.234636871508,445.929768555467,27609.3375897845,639148.443735036
eth0,144.78417266187,421.662669864109,26215.2278177458,603213.429256595
eth0,150.873689465801,441.737393909136,27363.9540688967,633307.638542187
eth0,151.91136840004,445.75306916858,27552.849585787,639107.296137339
eth0,148.961661341853,431.409744408946,26958.6661341853,614474.041533546
eth0,158.730158730159,464.809823300389,28776.4799840272,665909.55375861
eth0,159.193049036253,440.826924997503,28749.4257465295,615498.651752721
eth0,139.76023976024,406.693306693307,25314.2857142857,581410.18981019
eth0,150.089874176153,439.784301977232,27225.2846015578,630660.475334532
eth0,154.27602035725,452.150483983634,27970.6616106177,647873.864883744
eth0,148.50694097673,429.741336262858,26875.0624188555,612363.727154699
eth0,149.121054734319,436.576108669597,27040.9508589692,625632.84059129
eth0,153.485120830837,448.871579788296,27833.6329139205,642862.991811464
eth0,146.506986027944,427.245508982036,26531.3373253493,610837.924151697
eth0,152.770843734398,448.82675986021,27710.8337493759,643862.805791313
eth0,146.521608943008,429.184549356223,26572.7118474898,614604.251921349
eth0,170.425064857314,468.868489323488,30733.3865495909,651902.215126721
eth0,142.828605673192,417.698761486217,25885.5373551738,598189.97203356
eth0,151.820448877805,445.386533665835,27534.7630922693,638471.620947631
eth0,146.738587553691,428.029167915293,26584.3572070722,612499.450604335
eth0,155.435759209344,455.725267046022,28183.2884097035,653285.814116003
eth0,151.188336329139,443.578989414819,27421.2103055722,636333.533053725
eth0,144.382358810617,416.783077230094,26124.526042706,594309.319497106
eth0,151.206862158388,442.94833433074,27422.3020147616,634781.368442051
eth0,152.479792435885,447.260752419918,27642.151481888,640873.565512424
eth0,152.709851282563,445.254017367003,27669.627707356,637386.16628406
eth0,149.031742862847,436.114993012577,27031.9425034937,625452.38570573
eth0,158.299231460226,438.36710250524,28587.6834015371,611707.356023555
eth0,148.022373152217,428.485817019576,26775.8689572513,610116.66000799
eth0,151.333533113575,442.912795924483,27442.8129058036,634148.236939367
eth0,153.216140631242,448.561725928885,27787.8545745106,643293.04834199
eth0,148.336829487564,432.823893716911,26877.6346019379,619435.021476376
eth0,148.465524113192,434.734954165006,26915.7034675169,623341.968911917
eth0,152.256389776358,445.886581469649,27612.4201277955,638778.354632588
eth0,153.953674121406,444.788338658147,27864.017571885,633944.089456869
eth0,144.753918338824,423.679744434461,26250.973345313,607275.631426575
eth0,153.431763766959,449.022346368715,27826.4166001596,643390.462889066
eth0,170.22977022977,471.228771228771,30716.8831168831,657426.773226773
eth0,148.721534159009,435.477427087495,26965.0419496604,623646.024770276
eth0,151.711747679409,444.954586286056,27524.5034434574,638801.876434774
eth0,154.145465429512,446.473111842762,27899.8303901028,636247.829991021
eth0,148.632461569175,434.318227191056,26941.1060091835,622002.794969056
eth0,150.783354954595,442.17143997605,27345.9734557429,634103.183315038
eth0,153.393213572854,448.003992015968,27794.0119760479,641349.301397206
eth0,141.302176952267,413.920511284202,25624.3259436789,593193.728779708
eth0,152.516979624451,447.463044346784,27651.2185377547,641171.19456652
eth0,159.118116520351,461.193136472466,28804.0702314445,657990.023942538
eth0,148.462460063898,434.604632587859,26922.7236421725,622811.301916933
eth0,160.37547433593,443.978430197723,28963.8506091472,619963.251447973
eth0,147.467279448496,430.112898391448,26715.3561794385,615020.881206914
eth0,143.727526967639,420.695165801039,26055.533359968,602993.407910507
eth0,155.013983220136,454.454654414702,28115.8609668398,651396.723931283
eth0,148.602794411178,429.441117764471,26893.4131736527,611850.698602794
eth0,149.19113241462,435.889754343919,27052.9259037348,624403.435190733
eth0,151.80265654649,444.621991411165,27516.4286427644,636979.326875062
eth0,147.337928278893,430.526420936969,26694.236340026,616139.246828489
eth0,151.83298371791,445.609829187893,27539.3067625612,638949.155928479
eth0,156.346594874863,458.968989929205,28359.3578621996,657835.477116363
eth0,161.506192568917,442.269276867759,29113.8633639632,613702.556931682
eth0,142.52896524171,416.600079904115,25831.8018377946,597029.165001998
eth0,151.987217894947,445.376472937887,27565.0089874176,638288.795686039
eth0,145.138750249551,422.838889998004,26293.2721102016,604849.87023358
eth0,155.044955044955,454.745254745255,28123.8761238761,652139.060939061
eth0,151.212695877832,443.058189440064,27413.1150813454,634812.456332967
eth0,144.111776447106,415.868263473054,26073.6526946108,592210.578842315
eth0,154.437456324249,451.532394928621,28006.1894778876,646608.365778177
eth0,145.410965744532,426.54549086188,26370.518326176,611328.672725457
eth0,155.013983220136,452.656811825809,28077.1074710348,647453.455852976
eth0,154.820057820756,454.092313827136,28082.3447313329,650871.498355099
eth0,156.349840255591,432.707667731629,28233.6261980831,603541.533546326
eth0,144.169329073482,416.433706070287,26085.6629392971,592772.364217252
eth0,154.583582983823,452.166966247254,28023.3672857999,648076.293189535
eth0,152.840171708096,447.239692522711,27719.4768892882,641256.863332335
eth0,147.1939285001,429.89814260036,26679.0493309367,615006.391052527
eth0,149.505642664536,438.62978128433,27092.9791271347,628638.569859183
eth0,151.306602832635,443.646519050469,27438.8589666866,635409.934171155
eth0,147.419902185847,426.389859267392,26689.8892105,607749.675616329
eth0,151.037509976057,442.338387869114,27377.2944932163,633422.984836393
eth0,153.439153439153,448.936807427373,27816.7115902965,643606.668663272
eth0,172.998304915744,480.107687705654,31242.3970485592,670631.369029814
eth0,132.973944294699,389.437955475691,24111.8099231307,558049.316162524
eth0,145.490782262083,425.311410064773,26363.3283507723,609395.515695067
eth0,155.797463297713,450.913812044342,28211.3252771397,643154.499151104
eth0,155.143170707373,454.554524593435,28136.2865409558,651333.732415444
eth0,149.046620744734,440.151742038534,27018.0692822202,630740.14175901
