date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379552830477,eth0,945294,938575,246035685,230172276
1379552830477,eth2,48950,36972466017,160029576,5032770989710
1379552830477,lo,2,2,168,168
1379552840484,eth0,945316,938597,246039233,230178272
1379552840484,eth2,48950,36980911341,160029576,5033851991310
1379552840484,lo,2,2,168,168
1379552850490,eth0,945339,938622,246042947,230188278
1379552850490,eth2,48950,36989356666,160029576,5034932992782
1379552850490,lo,2,2,168,168
1379552860498,eth0,945362,938650,246046559,230202084
1379552860498,eth2,48950,36997801990,160029576,5036013994254
1379552860498,lo,2,2,168,168
1379552870508,eth0,945416,938708,246055309,230220434
1379552870508,eth2,48950,37006247314,160029576,5037094995854
1379552870508,lo,2,2,168,168
1379552880515,eth0,945449,938743,246060675,230231060
1379552880515,eth2,48950,37014692639,160029576,5038175997326
1379552880515,lo,2,2,168,168
1379552890521,eth0,945476,938775,246064927,230244526
1379552890521,eth2,48950,37023137963,160029576,5039256998798
1379552890521,lo,2,2,168,168
1379552900527,eth0,945500,938803,246068831,230257294
1379552900527,eth2,48950,37031583287,160029576,5040338000398
1379552900527,lo,2,2,168,168
1379552910533,eth0,945523,938828,246072545,230265384
1379552910533,eth2,48950,37040028611,160029576,5041419001870
1379552910533,lo,2,2,168,168
1379552920543,eth0,945546,938856,246076157,230277274
1379552920543,eth2,48950,37048473936,160029576,5042500003342
1379552920543,lo,2,2,168,168
1379552930552,eth0,945600,938914,246084907,230293712
1379552930552,eth2,48950,37056919260,160029576,5043581004814
1379552930552,lo,2,2,168,168
1379552940559,eth0,945633,938949,246090273,230302426
1379552940559,eth2,48950,37065364584,160029576,5044662006414
1379552940559,lo,2,2,168,168
1379552950564,eth0,945660,938979,246094525,230313900
1379552950564,eth2,48950,37073812436,160029576,5045743331342
1379552950564,lo,2,2,168,168
1379552960570,eth0,945682,939007,246098073,230328586
1379552960570,eth2,48950,37082257760,160029576,5046824332814
1379552960570,lo,2,2,168,168
1379552970578,eth0,945708,939035,246102301,230339354
1379552970578,eth2,48950,37090703084,160029576,5047905334414
1379552970578,lo,2,2,168,168
1379552980586,eth0,945731,939060,246105913,230349218
1379552980586,eth2,48950,37099148409,160029576,5048986335886
1379552980586,lo,2,2,168,168
1379552990595,eth0,945783,939117,246114307,230367534
1379552990595,eth2,48950,37107593733,160029576,5050067337358
1379552990595,lo,2,2,168,168
1379553000601,eth0,945818,939156,246120029,230382940
1379553000601,eth2,48950,37116039057,160029576,5051148338958
1379553000601,lo,2,2,168,168
1379553010607,eth0,945844,939184,246124217,230392400
1379553010607,eth2,48950,37124484382,160029576,5052229340430
1379553010607,lo,2,2,168,168
1379553020614,eth0,945867,939212,246127829,230405198
1379553020614,eth2,48950,37132929706,160029576,5053310341902
1379553020614,lo,2,2,168,168
1379553030620,eth0,945892,939241,246131899,230418068
1379553030620,eth2,48950,37141375030,160029576,5054391343502
1379553030620,lo,2,2,168,168
1379553040629,eth0,945915,939266,246135511,230426016
1379553040629,eth2,48950,37149820355,160029576,5055472344974
1379553040629,lo,2,2,168,168
1379553050638,eth0,945967,939323,246143905,230442420
1379553050638,eth2,48950,37158265679,160029576,5056553346446
1379553050638,lo,2,2,168,168
1379553060644,eth0,946002,939362,246149627,230455914
1379553060644,eth2,48950,37166711003,160029576,5057634348046
1379553060644,lo,2,2,168,168
1379553070650,eth0,946028,939390,246153815,230463458
1379553070650,eth2,48950,37175156328,160029576,5058715349518
1379553070650,lo,2,2,168,168
1379553080656,eth0,946051,939416,246157427,230474264
1379553080656,eth2,48950,37183601652,160029576,5059796350990
1379553080656,lo,2,2,168,168
1379553090662,eth0,946075,939446,246161205,230489136
1379553090662,eth2,48950,37192046976,160029576,5060877352590
1379553090662,lo,2,2,168,168
1379553100671,eth0,946099,939474,246165109,230503716
1379553100671,eth2,48950,37200492301,160029576,5061958354062
1379553100671,lo,2,2,168,168
1379553110679,eth0,946151,939528,246173503,230518090
1379553110679,eth2,48950,37208937625,160029576,5063039355534
1379553110679,lo,2,2,168,168
1379553120685,eth0,946184,939566,246178869,230533462
1379553120685,eth2,48950,37217382949,160029576,5064120357134
1379553120685,lo,2,2,168,168
1379553130692,eth0,946213,939599,246183477,230547766
1379553130692,eth2,48950,37225828274,160029576,5065201358606
1379553130692,lo,2,2,168,168
1379553140698,eth0,946236,939624,246187089,230556622
1379553140698,eth2,48950,37234273598,160029576,5066282360078
1379553140698,lo,2,2,168,168
1379553150705,eth0,946259,939652,246190803,230569458
1379553150705,eth2,48950,37242718922,160029576,5067363361678
1379553150705,lo,2,2,168,168
1379553160713,eth0,946283,939680,246194707,230582122
1379553160713,eth2,48950,37251164247,160029576,5068444363150
1379553160713,lo,2,2,168,168
1379553170723,eth0,946335,939734,246203101,230594584
1379553170723,eth2,48950,37259609571,160029576,5069525364622
1379553170723,lo,2,2,168,168
1379553180728,eth0,946369,939773,246208531,230608108
1379553180728,eth2,48950,37268054895,160029576,5070606366222
1379553180728,lo,2,2,168,168
1379553190735,eth0,946397,939805,246213075,230620432
1379553190735,eth2,48950,37276500220,160029576,5071687367694
1379553190735,lo,2,2,168,168
1379553200741,eth0,946420,939830,246216687,230627372
1379553200741,eth2,48950,37284945544,160029576,5072768369166
1379553200741,lo,2,2,168,168
1379553210748,eth0,946443,939856,246220401,230638220
