date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379508341031,eth0,6281211,16794107,1465459512,23351314876
1379508341031,eth8,28665,5012003954,8044744,1207617918980
1379508341031,eth11,20609622509,27620,2407290697974,158085920
1379508341031,lo,0,0,0,0
1379508351061,eth0,6282655,16798328,1465721328,23357356966
1379508351061,eth8,28665,5012003954,8044744,1207617918980
1379508351061,eth11,20610122528,27620,2407322699190,158085920
1379508351061,lo,0,0,0,0
1379508361074,eth0,6284070,16802471,1465977946,23363295708
1379508361074,eth8,28665,5012003954,8044744,1207617918980
1379508361074,eth11,20610622547,27620,2407354700406,158085920
1379508361074,lo,0,0,0,0
1379508371092,eth0,6285585,16806894,1466252470,23369628304
1379508371092,eth8,28665,5012003954,8044744,1207617918980
1379508371092,eth11,20611122565,27620,2407386701558,158085920
1379508371092,lo,0,0,0,0
1379508381111,eth0,6287131,16811380,1466532466,23376032216
1379508381111,eth8,28665,5012003954,8044744,1207617918980
1379508381111,eth11,20611622584,27620,2407418702774,158085920
1379508381111,lo,0,0,0,0
1379508391120,eth0,6288532,16815473,1466786338,23381888568
1379508391120,eth8,28665,5012003954,8044744,1207617918980
1379508391120,eth11,20612122399,27620,2407450690934,158085920
1379508391120,lo,0,0,0,0
1379508401141,eth0,6290033,16819859,1467058378,23388168930
1379508401141,eth8,28665,5012003954,8044744,1207617918980
1379508401141,eth11,20612622418,27620,2407482692150,158085920
1379508401141,lo,0,0,0,0
1379508411150,eth0,6291521,16824217,1467328178,23394410944
1379508411150,eth8,28665,5012003954,8044744,1207617918980
1379508411150,eth11,20613122436,27620,2407514693302,158085920
1379508411150,lo,0,0,0,0
1379508421165,eth0,6292956,16828419,1467588428,23400434400
1379508421165,eth8,28665,5012003954,8044744,1207617918980
1379508421165,eth11,20613622455,27620,2407546694518,158085920
1379508421165,lo,0,0,0,0
1379508431189,eth0,6294488,16832884,1467865936,23406823918
1379508431189,eth8,28665,5012003954,8044744,1207617918980
1379508431189,eth11,20614122474,27620,2407578695734,158085920
1379508431189,lo,0,0,0,0
1379508441210,eth0,6296013,16837311,1468142126,23413138640
1379508441210,eth8,28665,5012003954,8044744,1207617918980
1379508441210,eth11,20614622289,27620,2407610683894,158085920
1379508441210,lo,0,0,0,0
1379508451234,eth0,6297487,16841357,1468408114,23418763012
1379508451234,eth8,28665,5012003954,8044744,1207617918980
1379508451234,eth11,20615122307,27620,2407642685046,158085920
1379508451234,lo,0,0,0,0
1379508461244,eth0,6298959,16845665,1468674908,23424934370
1379508461244,eth8,28665,5012003954,8044744,1207617918980
1379508461244,eth11,20615622326,27620,2407674686262,158085920
1379508461244,lo,0,0,0,0
1379508471260,eth0,6300461,16850054,1468947248,23431220126
1379508471260,eth8,28665,5012003954,8044744,1207617918980
1379508471260,eth11,20616122345,27620,2407706687478,158085920
1379508471260,lo,0,0,0,0
1379508481274,eth0,6301902,16854274,1469208472,23437266190
1379508481274,eth8,28665,5012003954,8044744,1207617918980
1379508481274,eth11,20616622363,27620,2407738688630,158085920
1379508481274,lo,0,0,0,0
1379508491289,eth0,6303408,16858672,1469481366,23443561680
1379508491289,eth8,28665,5012003954,8044744,1207617918980
1379508491289,eth11,20617122382,27620,2407770689846,158085920
1379508491289,lo,0,0,0,0
1379508501306,eth0,6304829,16862787,1469738636,23449428008
1379508501306,eth8,28665,5012003954,8044744,1207617918980
1379508501306,eth11,20617622197,27620,2407802678006,158085920
1379508501306,lo,0,0,0,0
1379508511325,eth0,6306311,16867116,1470007312,23455623830
1379508511325,eth8,28665,5012003954,8044744,1207617918980
1379508511325,eth11,20618122216,27620,2407834679222,158085920
1379508511325,lo,0,0,0,0
1379508521339,eth0,6307843,16871602,1470285026,23462049854
1379508521339,eth8,28665,5012003954,8044744,1207617918980
1379508521339,eth11,20618622234,27620,2407866680374,158085920
1379508521339,lo,0,0,0,0
1379508531357,eth0,6309272,16875781,1470543994,23468031814
1379508531357,eth8,28665,5012003954,8044744,1207617918980
1379508531357,eth11,20619172234,27620,2407901880374,158085920
1379508531357,lo,0,0,0,0
1379508541370,eth0,6310788,16880221,1470818954,23474397810
1379508541370,eth8,28665,5012003954,8044744,1207617918980
1379508541370,eth11,20619672253,27620,2407933881590,158085920
1379508541370,lo,0,0,0,0
1379508551388,eth0,6312318,16884430,1471094952,23480251770
1379508551388,eth8,28665,5012003954,8044744,1207617918980
1379508551388,eth11,20620172272,27620,2407965882806,158085920
1379508551388,lo,0,0,0,0
1379508561404,eth0,6313810,16888745,1471365112,23486403996
1379508561404,eth8,28665,5012003954,8044744,1207617918980
1379508561404,eth11,20620672087,27620,2407997870966,158085920
1379508561404,lo,0,0,0,0
1379508571421,eth0,6315305,16893117,1471636194,23492669028
1379508571421,eth8,28665,5012003954,8044744,1207617918980
1379508571421,eth11,20621172105,27620,2408029872118,158085920
1379508571421,lo,0,0,0,0
1379508581435,eth0,6316734,16897286,1471895060,23498636864
1379508581435,eth8,28665,5012003954,8044744,1207617918980
1379508581435,eth11,20621672124,27620,2408061873334,158085920
1379508581435,lo,0,0,0,0
1379508591449,eth0,6318260,16901747,1472171768,23505027682
1379508591449,eth8,28665,5012003954,8044744,1207617918980
1379508591449,eth11,20622172143,27620,2408093874550,158085920
1379508591449,lo,0,0,0,0
1379508601462,eth0,6319736,16906077,1472439464,23511236348
1379508601462,eth8,28665,5012003954,8044744,1207617918980
1379508601462,eth11,20622672162,27620,2408125875766,158085920
1379508601462,lo,0,0,0,0
1379508611477,eth0,6321150,16910201,1472695630,23517134718
1379508611477,eth8,28665,5012003954,8044744,1207617918980
1379508611477,eth11,20623172180,27620,2408157876918,158085920
1379508611477,lo,0,0,0,0
1379508621497,eth0,6322662,16914585,1472969438,23523386408
1379508621497,eth8,28665,5012003954,8044744,1207617918980
1379508621497,eth11,20623671995,27620,2408189865078,158085920
1379508621497,lo,0,0,0,0
1379508631517,eth0,6324152,16918950,1473239516,23529640852
1379508631517,eth8,28665,5012003954,8044744,1207617918980
1379508631517,eth11,20624172014,27620,2408221866294,158085920
1379508631517,lo,0,0,0,0
1379508641537,eth0,6325591,16923157,1473500312,23535665732
1379508641537,eth8,28665,5012003954,8044744,1207617918980
1379508641537,eth11,20624672033,27620,2408253867510,158085920
1379508641537,lo,0,0,0,0
1379508651560,eth0,6327095,16927558,1473773024,23541967466
1379508651560,eth8,28665,5012003954,8044744,1207617918980
1379508651560,eth11,20625172051,27620,2408285868662,158085920
1379508651560,lo,0,0,0,0
1379508661572,eth0,6328635,16931809,1474051088,23547891544
1379508661572,eth8,28665,5012003954,8044744,1207617918980
1379508661572,eth11,20625672070,27620,2408317869878,158085920
1379508661572,lo,0,0,0,0
1379508671586,eth0,6330098,16936083,1474316164,23554008946
1379508671586,eth8,28665,5012003954,8044744,1207617918980
1379508671586,eth11,20626172089,27620,2408349871094,158085920
1379508671586,lo,0,0,0,0
1379508681605,eth0,6331630,16940517,1474593486,23560335142
1379508681605,eth8,28665,5012003954,8044744,1207617918980
1379508681605,eth11,20626671904,27620,2408381859190,158085920
1379508681605,lo,0,0,0,0
1379508691615,eth0,6333050,16944666,1474850934,23566273738
1379508691615,eth8,28665,5012003954,8044744,1207617918980
1379508691615,eth11,20627171922,27620,2408413860406,158085920
1379508691615,lo,0,0,0,0
1379508701625,eth0,6334575,16949136,1475127374,23572676148
1379508701625,eth8,28665,5012003954,8044744,1207617918980
1379508701625,eth11,20627671941,27620,2408445861622,158085920
1379508701625,lo,0,0,0,0
1379508711636,eth0,6335996,16953292,1475384996,23578625660
1379508711636,eth8,28665,5012003954,8044744,1207617918980
1379508711636,eth11,20628171960,27620,2408477862838,158085920
1379508711636,lo,0,0,0,0
1379508721653,eth0,6337483,16957642,1475654544,23584859350
1379508721653,eth8,28665,5012003954,8044744,1207617918980
1379508721653,eth11,20628671978,27620,2408509863990,158085920
1379508721653,lo,0,0,0,0
1379508731670,eth0,6338966,16961975,1475923252,23591058390
1379508731670,eth8,28665,5012003954,8044744,1207617918980
1379508731670,eth11,20629171793,27620,2408541852150,158085920
1379508731670,lo,0,0,0,0
1379508741692,eth0,6340414,16966164,1476185436,23597031576
1379508741692,eth8,28665,5012003954,8044744,1207617918980
1379508741692,eth11,20629671812,27620,2408573853366,158085920
1379508741692,lo,0,0,0,0
1379508751711,eth0,6341925,16970580,1476459422,23603358404
1379508751711,eth8,28665,5012003954,8044744,1207617918980
1379508751711,eth11,20630171831,27620,2408605854582,158085920
1379508751711,lo,0,0,0,0
1379508761732,eth0,6343459,16975071,1476737374,23609791422
1379508761732,eth8,28665,5012003954,8044744,1207617918980
1379508761732,eth11,20630671849,27620,2408637855734,158085920
1379508761732,lo,0,0,0,0
1379508771748,eth0,6345009,16979346,1477017186,23615743952
1379508771748,eth8,28665,5012003954,8044744,1207617918980
1379508771748,eth11,20631171868,27620,2408669856950,158085920
1379508771748,lo,0,0,0,0
1379508781761,eth0,6346440,16983531,1477276708,23621741818
1379508781761,eth8,28665,5012003954,8044744,1207617918980
1379508781761,eth11,20631671887,27620,2408701858166,158085920
1379508781761,lo,0,0,0,0
1379508791776,eth0,6348004,16988097,1477560142,23628279276
1379508791776,eth8,28665,5012003954,8044744,1207617918980
1379508791776,eth11,20632171702,27620,2408733846262,158085920
1379508791776,lo,0,0,0,0
1379508801796,eth0,6349538,16992535,1477837938,23634607428
1379508801796,eth8,28665,5012003954,8044744,1207617918980
1379508801796,eth11,20632671720,27620,2408765847478,158085920
1379508801796,lo,0,0,0,0
1379508811812,eth0,6351034,16996909,1478109084,23640871262
1379508811812,eth8,28665,5012003954,8044744,1207617918980
1379508811812,eth11,20633171739,27620,2408797848694,158085920
1379508811812,lo,0,0,0,0
1379508821828,eth0,6352437,17001013,1478363344,23646747226
1379508821828,eth8,28665,5012003954,8044744,1207617918980
1379508821828,eth11,20633671758,27620,2408829849910,158085920
1379508821828,lo,0,0,0,0
1379508831847,eth0,6353927,17005364,1478633468,23652974876
1379508831847,eth8,28665,5012003954,8044744,1207617918980
1379508831847,eth11,20634171776,27620,2408861851062,158085920
