date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379463146185,eth0,2014380,4948344,652640988,6760355706
1379463146185,eth8,20011,4073748411,7264760,1147569564228
1379463146185,eth11,10119279285,19282,1735908731638,157326132
1379463146185,lo,0,0,0,0
1379463156206,eth0,2015785,4952429,652895554,6766191864
1379463156206,eth8,20021,4073868416,7265680,1147577244548
1379463156206,eth11,10119399290,19292,1735916411958,157327052
1379463156206,lo,0,0,0,0
1379463166233,eth0,2017268,4956782,653164524,6772434274
1379463166233,eth8,20033,4073988374,7266728,1147584921860
1379463166233,eth11,10119519295,19302,1735924092278,157327972
1379463166233,lo,0,0,0,0
1379463176248,eth0,2018809,4961277,653443708,6778859418
1379463176248,eth8,20043,4074108379,7267648,1147592602180
1379463176248,eth11,10119639301,19313,1735931772662,157328956
1379463176248,lo,0,0,0,0
1379463186266,eth0,2020282,4965573,653710588,6785007396
1379463186266,eth8,20054,4074228385,7268632,1147600282564
1379463186266,eth11,10119759306,19323,1735939452982,157329876
1379463186266,lo,0,0,0,0
1379463196283,eth0,2021756,4969881,653977778,6791176030
1379463196283,eth8,20064,4074348390,7269552,1147607962884
1379463196283,eth11,10119879262,19333,1735947130166,157330796
1379463196283,lo,0,0,0,0
1379463206299,eth0,2023280,4974337,654254066,6797551242
1379463206299,eth8,20075,4074468396,7270536,1147615643268
1379463206299,eth11,10119999268,19344,1735954810550,157331780
1379463206299,lo,0,0,0,0
1379463216318,eth0,2024714,4978508,654513776,6803509122
1379463216318,eth8,20086,4074588402,7271520,1147623323652
1379463216318,eth11,10120119273,19354,1735962490870,157332700
1379463216318,lo,0,0,0,0
1379463226334,eth0,2026217,4982916,654786260,6809826172
1379463226334,eth8,20097,4074708359,7272504,1147631000900
1379463226334,eth11,10120239277,19364,1735970171126,157333620
1379463226334,lo,0,0,0,0
1379463236351,eth0,2027760,4987424,655065934,6816275808
1379463236351,eth8,20107,4074828364,7273424,1147638681220
1379463236351,eth11,10120359283,19375,1735977851510,157334604
1379463236351,lo,0,0,0,0
1379463246362,eth0,2029225,4991707,655331422,6822406592
1379463246362,eth8,20118,4074948370,7274408,1147646361604
1379463246362,eth11,10120479240,19385,1735985528694,157335524
1379463246362,lo,0,0,0,0
1379463256373,eth0,2030787,4996015,655613316,6828407412
1379463256373,eth8,20129,4075068376,7275392,1147654041924
1379463256373,eth11,10120599244,19395,1735993209014,157336444
1379463256373,lo,0,0,0,0
1379463266389,eth0,2032214,5000186,655872006,6834375762
1379463266389,eth8,20140,4075188382,7276376,1147661722372
1379463266389,eth11,10120719250,19406,1736000889398,157337428
1379463266389,lo,0,0,0,0
1379463276415,eth0,2033736,5004625,656147724,6840719010
1379463276415,eth8,20150,4075308338,7277296,1147669399556
1379463276415,eth11,10120839255,19416,1736008569718,157338348
1379463276415,lo,0,0,0,0
1379463286438,eth0,2035295,5009198,656430424,6847273690
1379463286438,eth8,20160,4075428343,7278216,1147677079876
1379463286438,eth11,10120959260,19426,1736016250038,157339268
1379463286438,lo,0,0,0,0
1379463296459,eth0,2036734,5013390,656691170,6853264084
1379463296459,eth8,20172,4075548350,7279264,1147684760324
1379463296459,eth11,10121079266,19437,1736023930422,157340252
1379463296459,lo,0,0,0,0
1379463306476,eth0,2038216,5017718,656959664,6859454754
1379463306476,eth8,20182,4075668355,7280184,1147692440644
1379463306476,eth11,10121199222,19447,1736031607606,157341172
1379463306476,lo,0,0,0,0
1379463316489,eth0,2039720,5022117,657232282,6865754456
1379463316489,eth8,20193,4075788361,7281168,1147700121028
1379463316489,eth11,10121319227,19457,1736039287926,157342092
1379463316489,lo,0,0,0,0
1379463326514,eth0,2041161,5026321,657493520,6871767190
1379463326514,eth8,20203,4075908366,7282088,1147707801348
1379463326514,eth11,10121439233,19468,1736046968310,157343076
1379463326514,lo,0,0,0,0
1379463336535,eth0,2042694,5030786,657771224,6878148890
1379463336535,eth8,20215,4076028324,7283136,1147715478660
1379463336535,eth11,10121559238,19478,1736054648630,157343996
1379463336535,lo,0,0,0,0
1379463346552,eth0,2044215,5035238,658046976,6884529054
