date,iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
1379458637629,eth0,256358,224230,114316332,47461482
1379458637629,eth2,14534,7474252431,156893488,1566627012918
1379458637629,lo,2,2,168,168
1379458647637,eth0,256380,224252,114319880,47467470
1379458647637,eth2,14544,7485615230,156894408,1567354232118
1379458647637,lo,2,2,168,168
1379458657645,eth0,256417,224291,114325910,47479668
1379458657645,eth2,14555,7496978031,156895392,1568081451318
1379458657645,lo,2,2,168,168
1379458667653,eth0,256441,224320,114329688,47493604
1379458667653,eth2,14565,7508340830,156896312,1568808670518
1379458667653,lo,2,2,168,168
1379458677662,eth0,256466,224349,114333656,47507356
1379458677662,eth2,14575,7519703631,156897232,1569535889718
1379458677662,lo,2,2,168,168
1379458687670,eth0,256508,224393,114340374,47519246
1379458687670,eth2,14586,7531066431,156898216,1570263108918
1379458687670,lo,2,2,168,168
1379458697677,eth0,256540,224430,114345574,47533552
1379458697677,eth2,14596,7542429230,156899136,1570990328118
1379458697677,lo,2,2,168,168
1379458707684,eth0,256565,224459,114349542,47546320
1379458707684,eth2,14606,7553792031,156900056,1571717547318
1379458707684,lo,2,2,168,168
1379458717693,eth0,256602,224498,114355572,47556550
1379458717693,eth2,14617,7565154831,156901040,1572444766518
1379458717693,lo,2,2,168,168
1379458727700,eth0,256626,224527,114359350,47568518
1379458727700,eth2,14627,7576517630,156901960,1573171985718
1379458727700,lo,2,2,168,168
1379458737709,eth0,256650,224555,114363254,47580238
1379458737709,eth2,14637,7587880430,156902880,1573899204918
1379458737709,lo,2,2,168,168
1379458747716,eth0,256693,224600,114370036,47590224
1379458747716,eth2,14648,7599243231,156903864,1574626424118
1379458747716,lo,2,2,168,168
1379458757723,eth0,256725,224635,114375236,47602486
1379458757723,eth2,14658,7610606030,156904784,1575353643318
1379458757723,lo,2,2,168,168
1379458767731,eth0,256747,224662,114378784,47617016
1379458767731,eth2,14668,7621968831,156905704,1576080862518
1379458767731,lo,2,2,168,168
1379458777740,eth0,256787,224706,114385234,47633950
1379458777740,eth2,14679,7633331630,156906688,1576808081718
1379458777740,lo,2,2,168,168
1379458787747,eth0,256811,224732,114389012,47643836
1379458787747,eth2,14689,7644694430,156907608,1577535300918
1379458787747,lo,2,2,168,168
1379458797756,eth0,256833,224759,114392560,47657382
1379458797756,eth2,14699,7656057231,156908528,1578262520118
1379458797756,lo,2,2,168,168
1379458807766,eth0,256877,224807,114399634,47673944
1379458807766,eth2,14710,7667420030,156909512,1578989739318
1379458807766,lo,2,2,168,168
1379458817774,eth0,256910,224842,114404898,47684264
1379458817774,eth2,14720,7678782831,156910432,1579716958518
1379458817774,lo,2,2,168,168
1379458827781,eth0,256932,224869,114408446,47696826
1379458827781,eth2,14730,7690149030,156911352,1580444395318
1379458827781,lo,2,2,168,168
1379458837790,eth0,256971,224912,114414832,47711728
1379458837790,eth2,14741,7701511830,156912336,1581171614518
1379458837790,lo,2,2,168,168
1379458847797,eth0,256995,224938,114418610,47719646
1379458847797,eth2,14751,7712874631,156913256,1581898833718
1379458847797,lo,2,2,168,168
1379458857807,eth0,257018,224966,114422222,47731288
1379458857807,eth2,14761,7724237430,156914176,1582626052918
1379458857807,lo,2,2,168,168
1379458867815,eth0,257061,225013,114429232,47745818
1379458867815,eth2,14772,7735600231,156915160,1583353272118
1379458867815,lo,2,2,168,168
1379458877822,eth0,257094,225048,114434496,47754170
1379458877822,eth2,14782,7746963031,156916080,1584080491318
1379458877822,lo,2,2,168,168
1379458887829,eth0,257117,225074,114438108,47764752
1379458887829,eth2,14792,7758325831,156917000,1584807710518
1379458887829,lo,2,2,168,168
1379458897838,eth0,257154,225116,114444138,47781480
